Depth ref [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB]
207.215,17100.7,1.16,1.76
207.235,17105.1,1.2,1.59
207.255,17109.5,1.47,1.78
207.275,17114,1.49,1.72
207.295,17118.4,1.39,1.61
207.315,17122.8,1.42,1.61
207.335,17127.3,1,1.35
207.355,17131.7,1.36,1.99
207.375,17136.1,1.44,1.8
207.395,17140.4,1.2,1.79
207.415,17144.7,1.43,1.9
207.435,17149,1.38,1.86
207.455,17153.4,1.43,1.69
207.475,17157.7,1.16,1.73
207.515,17166.3,1.17,1.68
207.535,17170.6,1.49,1.66
207.555,17175,1.19,1.47
207.575,17179.3,1.35,1.56
207.595,17183.6,1.08,1.83
207.635,17192.2,1.39,1.74
207.655,17196.6,1.13,1.52
207.695,17205.2,1.31,1.6
207.715,17209.5,1.24,1.65
207.735,17213.8,1.33,1.78
207.755,17218.2,1.65,1.64
207.775,17222.5,1.42,2.01
207.795,17226.8,1.47,1.83
207.815,17231.1,1.55,1.6
207.835,17235.4,1.58,1.97
207.855,17239.8,1.55,1.78
207.895,17248.2,1.44,1.75
207.935,17256.6,1.35,1.73
207.955,17260.8,1.51,1.96
207.975,17265,1.38,1.73
207.995,17269.2,1.38,1.76
208.015,17273.4,1.08,1.64
208.035,17277.6,1.51,1.98
208.055,17281.8,1.19,1.67
208.075,17286,0.94,1.56
208.095,17290.2,1.39,2
208.135,17298.5,1.21,1.83
208.155,17302.7,1.28,1.66
208.215,17315.3,1.23,1.87
208.235,17319.5,1.39,1.98
208.255,17323.7,1.65,1.78
208.275,17327.9,1.59,1.97
208.295,17332.1,1.44,1.88
208.315,17336.3,1.53,1.88
208.335,17340.5,1.36,1.78
208.355,17344.7,1.47,2
208.375,17348.9,1.36,2.14
208.395,17353,1.33,1.93
208.415,17357,1.41,1.77
208.435,17361,1.54,1.75
208.455,17365,1.22,1.91
208.475,17369,1.29,1.69
208.515,17377,1.15,1.59
208.535,17381,1.22,1.63
208.555,17385,1.05,1.38
208.575,17389,1.38,1.68
208.595,17393,1.13,1.78
208.615,17397,1.3,1.58
208.635,17401,0.99,1.59
208.675,17409.1,1.06,1.56
208.695,17413.3,1.26,1.49
208.715,17417.5,1.28,1.75
208.735,17421.7,1.22,1.53
208.755,17425.9,1.32,1.72
208.795,17434.3,1.36,1.69
208.815,17438.5,1.13,1.42
208.835,17442.7,1.12,1.72
208.855,17446.9,1.23,1.31
208.875,17451.1,1.39,1.85
208.895,17455.3,1.14,1.83
208.915,17459.6,1.41,1.93
208.935,17463.8,1.48,2.18
208.955,17468,1.46,1.73
208.975,17472.2,1.09,1.64
209.015,17480.6,1.48,1.74
209.035,17484.8,1.66,2.14
209.055,17489,1.58,1.95
209.075,17493.2,1.52,1.85
209.095,17497.4,1.42,1.72
209.115,17501.6,1.24,1.83
209.135,17505.8,1.24,1.66
209.155,17510,1.37,1.94
209.195,17517.6,1.22,1.81
209.235,17525.3,1.47,1.83
209.255,17529.1,1.02,1.58
209.275,17532.9,1.16,1.82
209.315,17540.6,0.77,1.49
209.335,17544.4,1.34,1.73
209.355,17548.2,1.2,1.87
209.395,17555.9,0.93,1.76
209.415,17559.7,1.17,1.96
209.435,17563.5,1.44,1.84
209.455,17567.3,0.82,1.56
209.475,17571.1,1.1,1.9
209.495,17575,1.14,1.59
209.535,17582.6,1.21,1.73
209.555,17586.4,0.72,1.59
209.575,17590.3,1.37,1.88
209.595,17594.1,1.25,1.97
209.615,17597.9,0.83,1.8
209.655,17605.6,1.35,1.79
209.695,17613.2,1.28,1.83
209.715,17617,1.23,1.85
209.735,17620.9,1.29,1.73
209.755,17624.7,1.19,1.79
209.775,17628.5,1.01,1.72
209.835,17640,1.03,1.78
209.875,17647.6,1.03,1.72
209.915,17655.3,0.69,1.44
