Depth c top [mcd],Age [ka BP],Foram bent d13C [per mil PDB],Foram bent d18O [per mil PDB]
334.36,14837,1.245,1.559
334.46,14842,1.272,1.645
334.56,14847,1.427,1.728
334.66,14852,1.46,1.462
334.76,14856,1.514,1.566
334.86,14861,1.59,1.543
334.96,14866,1.367,1.404
335.06,14871,1.193,1.255
335.16,14876,1.156,1.129
335.26,14881,1.112,1.308
335.36,14886,1.138,1.34
335.46,14891,1.249,1.517
335.56,14895,1.378,1.462
335.66,14900,1.327,1.382
335.76,14905,1.218,1.296
335.86,14910,1.437,1.169
335.96,14915,1.403,1.293
336.06,14920,1.435,1.575
336.16,14925,1.255,1.2
336.26,14930,1.41,1.351
336.36,14934,1.212,1.366
336.46,14939,0.975,1.037
336.56,14944,1.221,1.511
336.66,14949,1.16,0.937
336.76,14954,1.324,1.146
336.86,14959,1.468,1.668
336.96,14964,1.143,1.437
337.06,14968,1.164,1.413
337.16,14973,1.404,1.46
337.26,14978,1.647,1.24
337.36,14983,1.414,1.118
337.46,14988,1.399,1.495
337.56,14993,1.411,1.628
337.66,14998,1.467,1.614
337.76,15003,1.476,1.473
337.86,15007,1.434,1.404
337.96,15012,1.588,1.213
338.06,15017,1.59,1.45
338.16,15022,1.496,1.733
338.26,15027,1.29,1.227
338.36,15032,1.242,1.321
338.46,15037,1.454,1.642
338.56,15042,1.438,1.234
338.66,15046,1.427,1.287
338.76,15051,1.303,1.501
338.86,15056,1.588,1.538
338.96,15061,1.643,1.489
339.06,15066,1.692,1.272
339.16,15071,1.7,1.193
339.28,15077,1.425,1.088
339.36,15081,1.432,1.049
339.46,15087,1.448,1.27
339.56,15093,1.573,1.501
339.66,15100,1.677,1.424
339.76,15106,1.591,1.312
339.86,15113,1.584,1.343
339.96,15119,1.339,1.125
340.06,15125,1.373,1.553
340.16,15131,1.515,1.638
340.26,15138,1.346,1.521
340.36,15144,1.234,1.417
340.46,15150,1.318,1.214
340.56,15156,1.25,1.289
340.66,15162,1.177,1.64
340.76,15169,1.283,1.516
340.86,15175,1.138,1.344
340.96,15181,1.101,1.086
341.06,15187,1.443,1.113
341.16,15193,0.85,0.76
341.26,15198,1.191,1.138
341.36,15204,1.294,1.329
341.46,15208,1.087,1.08
341.56,15214,1.354,1.216
341.66,15219,1.107,1.081
341.76,15224,1.093,1.214
341.86,15229,1.504,1.268
341.96,15233,1.18,1.049
342.06,15240,0.913,1.175
342.16,15247,1.276,1.518
342.26,15254,1.475,1.85
342.36,15261,1.543,1.718
342.46,15268,1.301,1.326
342.56,15275,1.338,1.586
342.62,15279,1.33,1.39
342.72,15286,1.28,1.1
342.82,15290,1.15,1.11
342.92,15294,1.34,1.48
343.02,15298,1.33,1.53
343.12,15302,1.32,1.43
343.22,15306,1.23,1.38
343.32,15309,1.14,1.37
343.42,15313,1.35,1.44
343.52,15317,1.48,1.68
343.62,15321,1.43,1.23
343.72,15325,1.46,1.06
343.92,15332,1.28,1.4
344.02,15336,1.42,1.76
344.12,15339,1.37,1.69
344.22,15343,1.39,1.3
344.32,15346,1.6,1.27
344.42,15350,1.45,1.22
344.52,15353,1.3,1.66
344.62,15357,1.47,1.41
344.72,15360,1.61,1.12
344.82,15364,1.46,1.55
344.92,15367,1.13,1.11
345.02,15371,1.36,1.63
345.12,15374,1.57,1.66
345.22,15378,1.52,1.56
345.32,15381,1.49,1.52
345.42,15385,1.52,1.49
345.52,15388,1.62,1.33
345.62,15392,1.37,1.19
345.72,15395,1.35,1.16
345.82,15399,1.52,1.11
345.92,15402,1.05,1.04
346.02,15405,1.26,1.23
346.12,15408,1.63,1.47
346.22,15411,1.47,1.28
346.26,15412,1.653,1.502
346.36,15415,1.701,1.556
346.46,15418,1.642,1.531
346.96,15433,1.521,1.843
347.06,15436,1.654,1.871
347.16,15439,1.61,1.884
347.26,15442,1.665,1.745
347.37,15445,1.733,1.806
347.46,15448,1.713,1.624
347.56,15451,1.555,1.278
347.66,15454,1.723,1.478
347.76,15457,1.572,1.229
347.86,15460,1.406,1.189
347.96,15462,1.323,1.058
348.06,15465,1.332,1.255
348.16,15468,1.616,1.876
348.26,15471,1.477,1.521
348.36,15474,1.502,1.291
348.46,15477,1.407,1.187
348.57,15481,1.684,1.205
348.66,15485,1.465,1.163
348.76,15489,1.063,1.005
348.86,15493,1.015,0.962
348.94,15496,1.527,1.705
349.06,15501,1.396,1.536
349.16,15506,1.504,1.672
349.26,15510,1.548,1.511
349.36,15514,1.307,1.297
349.47,15518,1.431,1.449
349.56,15522,1.37,1.469
349.66,15526,1.482,1.538
349.76,15530,1.569,1.562
349.86,15535,1.492,1.589
349.96,15539,1.571,1.659
350.06,15543,1.494,1.589
350.17,15547,1.445,1.493
350.21,15549,1.329,1.589
350.31,15553,1.426,1.837
350.41,15557,1.246,1.466
350.51,15562,1.136,1.185
350.61,15566,0.725,0.651
350.71,15570,0.707,0.543
350.81,15572,0.8,0.776
350.91,15575,1.242,1.203
351.01,15578,0.861,0.662
351.11,15581,0.763,0.551
351.21,15584,0.606,0.559
351.31,15587,1.135,0.909
351.41,15590,0.956,0.816
351.51,15593,0.664,0.386
351.61,15597,0.538,0.515
351.63,15598,1.12,0.76
351.73,15603,0.82,0.49
351.83,15608,0.97,1.07
351.93,15613,1.25,1.41
352.03,15617,1.48,1.73
352.13,15622,1.3,1.68
352.23,15627,1.27,1.72
352.33,15632,1.41,1.7
352.43,15637,1.59,1.77
352.53,15642,1.59,1.75
352.63,15647,1.45,1.75
352.73,15652,1.17,1.76
352.83,15657,1.39,1.72
352.93,15661,1.38,1.66
