Depth [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB] (equilibrium)
48.3,3578.188776,-0.292,3.114
48.4,3583.954082,-0.306,3.192
48.5,3589.719388,-0.57,3.401
48.67,3599.520408,-0.258,3.001
48.78,3605.862245,-0.845,3.072
48.9,3612.780612,0.097,3.1
49,3618.545918,-0.04,3.289
49.12,3625.464286,0.023,3.184
49.2,3630.076531,-0.295,3.42
49.3,3635.841837,0.048,3.238
49.38,3640.454082,0.16,3.095
49.5,3647.372449,0.078,2.957
49.6,3653.137755,0.063,2.89
49.7,3658.903061,-0.046,3.232
49.8,3664.668367,-0.108,3.555
49.93,3672.163265,-0.286,3.486
50.06,3679.658163,-0.032,3.346
50.16,3685.423469,0.074,2.932
50.26,3691.923592,0.05,2.907
50.35,3697.847185,-0.057,3.124
50.49,3707.061662,-0.25,3.371
50.59,3713.643432,-0.298,3.163
50.66,3718.25067,-0.439,3.211
50.73,3722.857909,-0.356,3.273
50.86,3731.414209,-0.065,3.126
50.96,3737.995979,-0.202,3.406
51.17,3751.817694,-0.299,3.189
51.3,3760.373995,0.058,3.123
51.36,3764.323056,-0.205,3.269
51.43,3768.930295,-0.013,2.903
51.56,3777.486595,-0.18,2.983
51.66,3784.068365,-0.109,3.059
51.76,3790.650134,-0.142,3.153
51.85,3796.573727,-0.136,3.074
51.94,3802.497319,-0.043,3.121
52.04,3809.079088,0.066,3.169
52.14,3815.660858,-0.221,3.087
52.21,3820.268097,-0.243,2.837
52.34,3828.824397,-0.188,3.045
52.44,3835.406166,-0.439,3.169
52.54,3841.987936,-0.321,3.076
52.64,3848.569705,-0.287,3.066
52.78,3857.784182,-0.297,3.054
52.84,3861.733244,-0.184,3.204
52.94,3868.315013,-0.054,2.969
53.02,3873.580429,-0.274,3.275
53.12,3880.162198,-0.314,2.899
53.22,3886.743968,-0.187,3.2
53.34,3894.642091,-0.648,3.177
53.46,3902.540214,-0.247,2.961
53.56,3909.121984,-0.109,3.332
53.64,3914.387399,-0.18,2.999
53.73,3920.310992,-0.142,3.004
53.84,3927.550938,-0.181,3.21
53.94,3934.132708,-0.219,3.004
54.04,3940.714477,-0.192,3.127
54.14,3947.296247,-1.243,3.002
54.34,3960.459786,-0.698,3.19
54.53,3972.965147,-0.452,3.083
54.62,3978.88874,-0.302,3.438
54.74,3986.786863,-0.188,2.831
54.84,3993.368633,-0.453,3.312
54.96,4001.266756,0.054,3.296
55.06,4007.848525,-0.721,3.362
55.14,4013.113941,0.114,3.083
55.23,4019.037534,-0.5,3.15
55.34,4026.27748,-0.322,3.195
55.44,4032.859249,-0.271,2.904
55.54,4039.441019,-0.465,3.194
55.64,4046.022788,-0.27,3.199
55.74,4052.604558,0.04,3.067
55.84,4059.186327,-0.052,3.087
55.94,4065.768097,-0.211,3.189
56.04,4072.349866,-0.079,3.172
56.12,4077.615282,-0.11,3.158
56.24,4085.513405,-0.355,2.97
56.34,4092.095174,0.209,3.335
56.46,4099.993298,-0.297,3.114
56.56,4106.575067,-0.134,3.186
56.64,4111.840483,-0.142,2.876
56.73,4117.764075,-0.034,3.102
56.84,4125.004021,-0.319,3.221
56.94,4131.585791,-0.019,3.048
57.04,4138.16756,-0.361,3.135
57.14,4144.74933,0.012,3.049
