Depth [mbsf],NewAgeModel (Ma),_13C [per mil PDB],_18O [per mil PDB]
298.21,12.69437788,0.67,2.19
298.31,12.69904271,0.5,2.36
298.41,12.70370754,0.67,2.14
298.51,12.70930533,0.62,2.1
298.61,12.71397016,0.47,2.01
298.71,12.71863499,0.51,2.24
298.81,12.72329981,0.74,2.31
298.91,12.72889761,0.6,2.37
299.01,12.73356243,0.71,2.13
299.11,12.73822726,0.67,2.07
299.21,12.74289209,0.68,2.36
299.31,12.74848988,0.76,2.16
299.41,12.75315471,0.8,2.11
299.51,12.75595361,0.71,2.38
299.61,12.7587525,0.75,2.37
299.71,12.76061844,0.75,2.52
299.81,12.76341733,0.66,2.51
299.91,12.76621623,0.72,2.47
300.01,12.76901513,0.52,2.43
300.11,12.77088106,0.66,2.24
300.21,12.77367995,0.55,2.28
300.31,12.77647885,0.56,2.25
300.41,12.77927775,0.64,2.35
300.51,12.78114368,0.58,2.29
300.61,12.78394258,0.66,2.51
300.71,12.78674147,0.53,2.35
302.61,12.78674147,0.68,2.54
302.71,12.78954037,0.71,2.43
302.81,12.79337984,0.59,2.51
302.91,12.79612565,0.54,2.23
303.01,12.80024437,0.57,2.18
303.11,12.80436308,0.56,2.05
303.21,12.80848179,0.63,2.11
303.31,12.81260051,0.64,2.13
303.52,12.82221084,0.56,2.26
303.62,12.82632956,0.53,2.14
303.72,12.83044827,0.29,2
303.82,12.83456699,0.17,2.28
303.92,12.8386857,0.58,2.3
304.02,12.84280442,0.51,2.35
304.12,12.84829604,0.66,2.31
304.22,12.85241475,0.7,2.34
304.32,12.85653346,0.66,2.08
304.42,12.86065218,0.62,2.01
304.52,12.8661438,0.79,2.24
304.62,12.87163542,0.8,2.38
304.72,12.87849994,0.86,2.24
304.82,12.88399156,0.66,2.51
304.92,12.88948318,0.67,2.45
305.02,12.8949748,0.71,2.33
305.12,12.90046642,0.69,2.31
305.22,12.90595804,0.69,2.48
305.32,12.9112679,0.82,2.57
305.42,12.91504712,0.65,2.49
305.52,12.91807049,0.86,2.46
305.62,12.92109386,0.91,2.33
305.72,12.92411723,0.8,2.31
305.82,12.92714061,0.68,2.29
305.92,12.93016398,0.54,2.32
306.02,12.93394319,0.58,2.21
306.12,12.93696656,0.72,2.19
306.22,12.93998994,0.58,2.09
306.32,12.94225747,0.61,2.26
306.43,12.94528084,0.64,2.36
306.53,12.94754837,0.68,2.35
306.63,12.9498159,0.68,2.47
306.73,12.95208342,0.72,2.18
306.83,12.95435095,0.66,2.12
306.93,12.95661848,0.72,2.21
307.03,12.95888601,0.8,2.34
307.13,12.96190938,0.7,2.32
307.23,12.96417691,0.53,2.21
307.33,12.96644444,0.58,2.24
307.43,12.96871197,0.42,2.05
307.53,12.97173534,0.48,2.2
307.63,12.97400287,0.74,2.39
307.73,12.97702624,0.62,2.48
307.11,12.97778208,0.62,2.32
307.21,12.98004961,0.56,2.32
307.31,12.98307299,0.59,2.56
307.41,12.98534051,0.56,2.49
307.51,12.98836389,0.71,2.66
307.61,12.99136356,0.78,2.57
307.71,12.99618146,0.78,2.43
307.81,12.99979488,1.02,2.43
307.91,13.00461277,0.76,2.2
308.01,13.00702172,0.78,2.24
308.11,13.00943066,0.82,2.34
308.21,13.01304408,0.74,2.29
308.31,13.01545303,0.8,2.34
308.41,13.01786198,0.75,2.3
308.51,13.02027092,0.78,2.36
308.61,13.02267987,0.73,2.33
308.71,13.02508882,0.8,2.43
308.81,13.02870224,0.71,2.41
308.91,13.03111118,0.59,2.27
309.01,13.03352013,0.74,2.19
309.11,13.03592908,0.8,2.29
309.21,13.03833802,0.84,2.34
309.31,13.04074697,0.75,2.33
309.41,13.04436039,0.9,2.24
309.51,13.04676934,0.88,2.13
309.61,13.04917828,0.71,1.92
309.71,13.05158723,0.68,1.86
309.81,13.05399618,0.77,1.93
309.92,13.05640512,0.87,2.18
310.02,13.05881407,0.83,2.17
310.12,13.06122302,0.73,2.34
310.22,13.06363196,0.66,2.39
310.32,13.06604091,0.7,2.36
310.42,13.06844986,0.75,2.3
310.52,13.0708588,0.8,2.42
310.62,13.07276958,0.84,2.41
310.72,13.07440698,0.91,2.33
310.82,13.07604438,0.94,2.43
310.92,13.07768178,0.93,2.31
311.02,13.07931918,0.69,2.07
311.12,13.08095659,0.86,2.23
311.22,13.08259399,0.74,2.16
311.32,13.08423139,0.92,2.27
311.44,13.08668749,0.84,2.19
311.54,13.0883249,0.67,2.05
311.64,13.0899623,0.83,2.3
311.74,13.0915997,0.54,1.89
311.84,13.0932371,0.83,2.3
311.94,13.0948745,0.75,2.23
312.04,13.09651191,0.73,2.11
312.14,13.09814931,0.72,2.1
312.24,13.09978671,0.75,2.02
312.34,13.10142411,0.66,1.78
312.44,13.10388022,0.78,1.91
312.54,13.10633632,0.8,2.05
312.64,13.10879242,0.87,2
312.74,13.11124853,0.81,2.08
312.84,13.11370463,0.75,2.04
312.94,13.11616073,0.58,1.85
313.04,13.11861683,0.72,2.08
313.14,13.12107294,0.61,2.04
313.24,13.12352904,0.68,2.05
313.34,13.12598514,0.66,2.08
313.44,13.12844125,0.82,2.08
313.44,13.12844125,0.82,2.1
313.54,13.13089735,0.76,1.83
313.64,13.13346721,0.68,1.66
313.74,13.13761216,0.76,1.74
313.84,13.14175712,0.81,1.74
313.94,13.14590207,0.89,1.99
314.04,13.14901079,0.9,2.15
313.41,13.1521195,0.92,2.32
313.51,13.15626446,0.86,2.25
313.61,13.16040941,0.81,2.25
313.71,13.16455437,0.82,2.29
313.81,13.16869932,0.81,2.29
313.91,13.17180804,0.73,2.13
314.01,13.17595299,0.8,2.13
314.11,13.18009794,0.94,2.07
314.21,13.1842429,1.08,2.16
314.31,13.18838785,0.92,1.98
314.41,13.19253281,0.94,2.09
314.51,13.19667776,0.98,1.94
314.61,13.19978648,0.95,2.05
314.71,13.20393143,1.01,1.92
314.81,13.20807638,0.94,1.91
314.91,13.21222134,0.84,1.73
315.01,13.21533005,0.86,1.95
315.11,13.21843877,0.85,2.03
315.21,13.22258372,0.84,2.03
315.31,13.22569244,0.8,2
315.31,13.22569244,0.71,2.04
315.41,13.22880115,0.95,2.3
315.51,13.23294611,0.8,1.89
315.61,13.23605482,0.99,1.97
315.61,13.23605482,0.99,1.76
315.71,13.23916354,0.82,1.75
315.81,13.24227226,0.75,1.9
315.91,13.24641721,0.72,1.86
316.01,13.24952593,0.64,1.77
316.11,13.25263464,0.66,1.71
316.21,13.25574336,0.85,1.94
316.31,13.25781583,1.02,2.22
316.41,13.26092455,0.98,2.27
316.51,13.26403326,1.08,2.06
316.61,13.26610574,0.95,1.93
316.71,13.26921446,0.91,1.94
316.91,13.27439565,1.15,2
317.01,13.27750437,1.18,2.2
317.11,13.27957684,1.23,2.01
317.21,13.28268556,1.11,2.03
317.31,13.28579427,0.94,1.97
317.41,13.28786675,0.97,2.04
317.51,13.29097547,0.86,2.09
317.61,13.29304794,0.99,2.14
317.71,13.29615666,0.96,2.22
317.81,13.29926537,0.91,2.32
317.91,13.30133785,0.97,2.34
318.01,13.30444657,1.07,2.31
318.11,13.30755528,1.01,2.23
318.21,13.30962776,0.96,2.18
317.61,13.31273648,1.05,2.26
317.71,13.31480895,1.04,2.19
317.81,13.31791767,1.03,2.26
317.91,13.31999014,1.2,2.29
318.01,13.32309886,0.92,2.01
318.11,13.32620758,0.97,2.18
318.21,13.32828005,0.85,2.15
318.31,13.33138877,0.64,1.65
318.41,13.33449748,0.79,1.97
318.51,13.3376062,1.01,2.04
318.61,13.34071492,1.13,2.32
318.71,13.34382363,1.1,2.38
318.81,13.34693235,1.02,2.27
318.91,13.35,1.01,2.36
319.01,13.353,0.92,2.15
319.11,13.356,0.84,2.03
319.21,13.359,1.05,2.25
319.31,13.362,1.06,2
319.41,13.365,1.16,1.98
319.51,13.368,0.9,1.89
319.61,13.371,0.98,1.78
319.71,13.373,0.93,1.95
319.81,13.376,0.97,1.87
319.91,13.378,1.03,1.93
320.01,13.381,1.05,2.05
320.11,13.383,1.04,2.14
320.21,13.386,1.11,2.1
320.31,13.388,1,2.06
320.41,13.39,0.84,2.18
320.51,13.393,0.83,2.15
320.61,13.395,0.92,2.21
320.71,13.398,1.05,2.13
320.81,13.4,0.95,2.12
320.91,13.403,0.93,2.06
321.01,13.405,0.95,2.09
321.11,13.407,1.06,2.02
321.21,13.41,1.03,1.81
321.31,13.412,1,1.77
321.41,13.415,0.83,1.63
321.51,13.417,1.19,1.83
322.01,13.419,1.15,1.9
322.06,13.42,1.05,1.77
322.11,13.421,1.03,1.74
322.16,13.423,1,1.81
322.21,13.424,1.01,1.98
322.26,13.425,1.02,1.63
322.31,13.426,0.99,1.77
322.36,13.428,0.84,1.64
322.41,13.429,0.85,1.76
322.46,13.43,0.82,2.21
322.51,13.431,0.73,1.76
322.56,13.433,0.74,1.83
322.61,13.434,0.99,2.08
322.66,13.435,0.77,2.07
322.71,13.436,1.12,2.18
322.76,13.438,1.16,2.28
322.81,13.439,1.14,2.16
322.86,13.44,1.04,2.24
322.91,13.441,1.05,2.03
322.96,13.443,1.08,2.38
323.01,13.444,1.09,2.02
323.06,13.445,0.95,2.21
323.11,13.447,0.98,1.97
323.16,13.448,1.04,2.01
323.21,13.449,1.16,2.06
323.26,13.45,1.25,2.34
323.31,13.452,1.2,2.05
323.36,13.453,1.18,2.22
323.41,13.454,1.19,2.05
323.46,13.455,1.18,2.23
323.51,13.457,1.11,2.24
323.56,13.458,1.11,2.32
323.61,13.459,1.18,2.26
323.66,13.46,1.03,2.15
323.71,13.462,1.1,2.16
323.76,13.463,1.1,2.32
323.81,13.464,1.09,2.22
323.86,13.466,0.99,2.2
323.91,13.467,1.15,2.24
323.96,13.468,1.11,2.17
324.01,13.469,1.07,2.15
324.06,13.471,1.1,2.08
324.11,13.472,1.13,2.2
324.16,13.473,1.09,2.09
324.21,13.474,1.13,2
324.26,13.476,1.13,2.01
324.31,13.477,1.13,2.08
324.36,13.478,1.09,1.94
324.46,13.481,1.06,1.98
324.51,13.482,0.97,1.99
324.56,13.483,1.11,1.93
324.61,13.485,1.11,1.96
324.66,13.486,0.99,2.03
324.71,13.487,1.16,1.98
324.76,13.488,1.1,1.93
324.81,13.49,1.06,1.96
324.86,13.491,1.04,1.87
324.91,13.492,0.92,1.97
324.96,13.493,0.79,1.88
325.01,13.495,0.99,1.98
325.06,13.496,0.94,1.9
325.11,13.497,1,1.92
325.16,13.498,0.79,1.84
325.21,13.5,0.86,1.91
325.26,13.501,0.84,1.77
325.31,13.503,0.86,1.87
325.41,13.506,0.78,1.79
325.46,13.507,0.74,1.9
325.51,13.509,0.86,1.88
325.56,13.51,0.93,2.08
325.61,13.512,0.87,2.02
325.66,13.513,0.81,2
325.71,13.515,0.84,1.94
325.76,13.516,0.95,2.3
325.81,13.518,0.87,2.11
325.86,13.519,0.88,1.9
325.91,13.521,0.88,1.79
325.91,13.521,0.87,1.88
325.96,13.523,0.95,2.04
326.01,13.524,0.96,1.71
326.06,13.526,0.85,1.66
326.11,13.527,1.09,1.81
326.16,13.529,0.91,1.52
326.21,13.53,0.87,1.43
326.26,13.532,1.11,1.89
326.31,13.533,1.27,2.02
326.36,13.535,1.03,1.68
326.41,13.536,0.7,1.57
326.46,13.538,0.79,1.57
326.51,13.539,0.67,1.6
326.56,13.541,0.62,1.48
326.61,13.542,0.71,1.65
326.66,13.544,0.6,1.54
326.66,13.544,0.67,1.62
326.71,13.545,0.59,1.56
326.76,13.546,0.79,1.69
326.81,13.548,0.91,2
326.86,13.549,1.03,2.02
326.91,13.551,1.1,2.09
326.96,13.552,1.24,2.08
327.01,13.553,1.18,2.2
327.06,13.555,1.11,1.91
327.11,13.556,1.14,1.97
327.16,13.557,1.31,2.12
327.21,13.559,1.32,2
327.26,13.56,1.22,1.93
327.31,13.561,1.48,2.28
327.36,13.563,,
327.41,13.564,1.42,1.99
327.46,13.565,1.26,1.88
327.51,13.567,1.26,2.2
327.56,13.568,1.3,2.13
327.61,13.57,1.32,2.33
327.66,13.571,1.17,2.11
327.71,13.572,1.21,1.93
327.76,13.574,1.3,2.37
327.81,13.575,1.58,
327.86,13.576,1.14,2.15
327.91,13.578,1.17,2.27
327.96,13.579,1.15,2.24
328.01,13.58,1.27,2.29
328.06,13.582,1.14,1.99
328.11,13.583,1.23,2.15
328.16,13.584,1.17,2.19
328.21,13.586,1.23,1.91
328.26,13.587,1.17,1.88
328.31,13.589,1.21,1.98
328.36,13.59,1.07,1.89
328.41,13.591,1.03,1.73
328.46,13.593,1.03,1.78
328.51,13.594,0.96,1.6
328.56,13.596,1.04,1.91
328.61,13.598,1.29,2
328.66,13.6,1.23,2.13
328.71,13.602,1.18,2.25
328.76,13.604,1.26,2.02
326.76,13.605,1.26,1.99
326.81,13.607,1.22,2.1
326.86,13.609,1.14,1.82
326.91,13.611,0.93,1.73
326.96,13.613,1.07,1.77
327.01,13.615,1.3,1.9
327.06,13.617,1.15,1.79
327.11,13.619,1.32,2.1
327.16,13.621,1.33,1.91
327.21,13.623,1.42,2.15
327.26,13.625,1.35,1.91
327.31,13.627,1.27,1.85
327.36,13.629,1.25,1.73
327.41,13.631,1.36,1.93
327.46,13.633,1.11,1.69
327.51,13.635,1.1,1.64
327.56,13.636,1.2,1.77
327.61,13.638,1.25,1.99
327.66,13.639,1.5,2.21
327.71,13.641,1.42,2.19
327.76,13.642,1.43,2.17
327.81,13.644,1.65,2.37
327.86,13.645,1.47,2.19
327.91,13.647,1.49,2.25
327.96,13.648,1.48,2.09
328.01,13.65,1.56,2.26
328.06,13.651,1.48,2.1
328.11,13.653,1.48,2.18
328.16,13.654,1.55,2.1
328.21,13.655,1.64,2.1
328.26,13.657,1.61,2.21
328.31,13.658,1.41,2.2
328.36,13.66,1.46,2.22
328.41,13.661,1.59,2.25
328.46,13.663,1.64,2.32
328.51,13.664,1.52,2.22
328.56,13.666,1.68,2.24
328.61,13.667,1.6,2.15
328.66,13.669,1.65,2.27
328.71,13.67,1.65,2.15
328.76,13.672,1.51,2.18
328.81,13.673,1.53,2.15
328.86,13.674,1.49,2.18
328.91,13.676,1.54,2.07
328.96,13.677,1.58,2.26
329.01,13.679,1.46,2.03
329.06,13.68,1.56,2
329.11,13.682,1.55,2.09
329.16,13.683,1.66,2.23
329.21,13.685,1.48,2.04
329.26,13.686,1.53,2.2
329.31,13.688,1.41,1.93
329.36,13.689,1.75,2.41
329.41,13.69,1.78,2.32
329.46,13.692,1.54,2.38
329.51,13.693,1.53,2.15
329.56,13.695,1.51,2.24
329.61,13.696,1.57,2
329.66,13.698,1.42,1.8
329.71,13.699,1.57,1.92
329.76,13.701,1.66,1.84
329.81,13.702,1.64,1.96
329.86,13.704,1.69,2.02
329.91,13.705,1.65,1.95
329.96,13.707,1.65,1.92
330.01,13.708,1.57,1.82
330.06,13.709,1.44,2
330.11,13.71,1.55,2
330.16,13.711,1.25,1.97
330.21,13.712,1.5,1.96
330.26,13.713,1.41,1.88
330.31,13.714,1.46,2.03
330.36,13.715,1.65,2.1
330.42,13.716,1.67,2.17
330.47,13.717,1.71,2.33
330.52,13.718,1.79,2.21
330.57,13.719,1.5,2.17
330.62,13.72,1.71,2.11
330.67,13.721,1.64,2.1
330.72,13.722,1.57,2.03
330.72,13.722,1.39,2
330.77,13.723,1.73,2.21
330.82,13.724,1.73,2.07
330.87,13.725,1.73,2.24
330.92,13.725,1.66,2.17
330.92,13.725,1.66,2.29
330.97,13.726,1.74,2.25
331.02,13.727,1.75,2.19
331.07,13.728,1.78,2.21
331.12,13.729,1.5,2
331.17,13.73,1.74,2.28
331.22,13.731,1.62,2.11
331.27,13.732,1.67,2.41
331.32,13.733,1.56,2.18
331.37,13.734,1.69,2.16
331.42,13.735,1.59,2.15
331.47,13.736,1.52,2.27
331.52,13.737,1.6,2.16
331.57,13.738,1.6,2.17
331.62,13.739,1.7,2.17
331.67,13.74,1.58,2.18
331.72,13.741,1.57,2.24
331.77,13.742,1.53,2.06
331.82,13.743,1.51,2.19
331.87,13.744,1.61,2.16
331.92,13.745,1.62,2.13
331.97,13.746,1.58,2.11
333.06,13.746,1.64,2.21
333.11,13.747,1.78,2.4
333.16,13.748,1.58,2.18
333.21,13.749,1.66,2.15
333.26,13.749,1.59,2.12
333.31,13.75,1.62,2.13
333.36,13.751,1.49,1.96
333.41,13.752,1.68,2.21
333.46,13.753,1.56,2.17
333.51,13.754,1.51,1.98
333.56,13.755,1.64,2.21
333.61,13.756,1.65,2.29
333.66,13.757,1.68,2.14
333.76,13.759,1.53,2.23
333.81,13.76,1.64,2.39
333.86,13.761,1.55,2.4
333.91,13.762,1.59,2.14
333.96,13.763,1.44,2.23
