Age,Foram bent (corrected),Foram bent (corrected)
2595.635922,-0.28,3.09
2598.402913,0.33,3.54
2600.616505,0.01,3.28
2604.369231,0.38,3.73
2607.753846,-0.13,2.89
2611.138462,0.47,3.27
2613.846154,0.22,3.2
2617.907692,0.23,2.67
2630.776471,-0.1,3.04
2633.035294,0.08,2.55
2635.858824,0.43,3.08
2638.682353,0.85,2.9
2641.505882,0.37,3.31
2648,0.43,3.51
2650.3,-0.13,3.5
2652.344444,0.63,3.34
2654.9,0.66,3.22
2656.944444,0.68,2.89
2660.011111,1.04,2.66
2661.8,1.16,3.07
2664.355556,1.18,3.14
2674.833333,0.91,2.87
2677.9,0.69,2.62
2677.9,0.69,2.62
2685.055556,0.69,3.21
2685.055556,0.69,3.14
2686.333333,0.58,3.14
2686.333333,0.58,3.14
2693.233333,-0.09,3.25
2693.233333,-0.09,3.25
2695.533333,0.44,3.35
2695.533333,0.44,3.35
2698.344444,0.57,3.35
2698.344444,0.57,3.35
2700.133333,0.29,3.19
2700.133333,0.29,3.19
2705.244444,0.2,3.75
2705.244444,0.2,3.75
2709.077778,0.07,3.94
2709.077778,0.07,3.94
2711.888889,-0.03,3.79
2711.888889,-0.03,3.79
2713.166667,0.63,3.34
2713.166667,0.63,3.34
2716.233333,0.85,3.47
2716.233333,0.43,4.02
2719.285714,-0.01,4.04
2722.55102,1.08,4.26
2725.816327,0.71,3.59
2729.081633,0.33,3.55
2735.612245,0.78,3.26
2742.142857,0.83,3.09
2748.673469,0.91,2.99
2755.204082,0.8,3.32
2764.020408,0.45,3.39
2765,-0.84,3.28
2768.508772,0.29,3.09
2772.017544,1.05,2.86
2775.526316,0.23,2.76
2779.035088,0.94,2.7
2782.54386,0.59,2.91
2786.131148,0.57,2.88
2789.901639,0.32,3.42
2793.672131,0.32,3.24
2797.442623,0.2,3.58
2801.213115,0.41,3.29
2804.983607,0.83,3.3
2809.021277,0.9,2.94
2814.12766,0.71,2.92
2819.234043,0.39,2.85
2824.340426,0.9,2.7
2829.446809,0.8,2.93
2833.5,0.66,3.3
2842.5,0.79,3.06
2845.5,0.51,3.29
2848.5,0.65,3.15
2851.5,0.48,3.41
2855,0.54,2.73
