Age [Ma],_13C [per mil PDB]
15.94,1.64
15.959,1.58
15.992,1.36
16.002,1.66
16.012,1.35
16.022,1.35
16.052,1.35
16.083,1.35
16.088,1.35
16.093,1.35
16.098,1.35
16.103,1.35
16.109,1.35
16.114,1.35
16.119,1.35
16.124,1.35
16.129,1.35
16.14,1.35
16.144,1.35
16.15,1.35
16.171,1.35
16.179,1.35
16.187,1.35
16.195,1.35
16.204,1.35
16.212,1.35
16.22,1.35
16.229,1.35
16.245,1.35
16.254,1.35
16.264,1.35
16.27,1.35
16.278,1.35
16.287,1.35
16.295,1.35
16.303,1.35
16.312,1.35
16.32,1.35
16.328,1.35
16.337,1.35
16.345,1.35
16.353,1.35
16.361,1.35
16.37,1.35
16.378,1.35
16.386,1.35
16.395,1.35
16.403,1.35
16.411,1.35
16.42,1.35
16.428,1.35
16.436,1.35
16.444,1.35
16.463,1.35
16.472,1.35
16.479,1.35
16.488,1.35
16.496,1.35
16.505,1.35
16.514,1.35
16.522,1.35
16.531,1.35
16.54,1.35
16.548,1.35
16.557,1.35
16.574,1.35
16.592,1.35
16.635,1.35
16.643,1.35
16.652,1.35
16.661,1.35
16.669,1.35
16.678,1.35
16.695,1.35
16.713,1.35
16.721,1.35
16.73,1.35
16.739,1.35
16.747,1.35
16.756,1.35
16.765,1.35
16.773,1.35
16.782,1.35
16.877,1.35
16.882,1.35
16.888,1.35
16.893,1.35
16.899,1.35
16.904,1.35
16.91,1.35
16.915,1.35
16.92,1.35
16.926,1.35
16.931,1.35
16.937,1.35
16.942,1.35
16.947,1.35
16.953,1.35
16.958,1.35
16.964,1.35
16.969,1.35
16.975,1.35
16.98,1.35
16.985,1.35
16.991,1.35
16.996,1.35
17.002,1.35
17.007,1.35
17.013,1.35
17.019,1.35
17.025,1.35
17.031,1.35
17.037,1.35
17.043,1.35
17.049,1.35
17.055,1.35
17.061,1.35
17.067,1.35
17.073,1.35
17.079,1.35
17.085,1.35
17.091,1.35
17.097,1.35
17.103,1.35
17.109,1.35
17.115,1.35
17.127,1.35
17.133,1.35
17.139,1.35
17.145,1.35
17.151,1.35
17.157,1.35
17.163,1.35
17.169,1.35
17.175,1.35
17.181,1.35
17.187,1.35
17.193,1.35
17.199,1.35
17.205,1.35
17.211,1.35
17.217,1.35
17.223,1.35
17.229,1.35
17.234,1.35
17.24,1.35
17.245,1.35
17.251,1.35
17.256,1.35
17.261,1.35
17.267,1.35
17.272,1.35
17.278,1.35
17.283,1.35
17.288,1.35
17.294,1.35
17.299,1.35
17.305,1.35
17.31,1.35
17.316,1.35
17.321,1.35
17.326,1.35
17.332,1.35
17.337,1.35
17.343,1.35
17.348,1.35
17.353,1.35
17.363,1.35
17.373,1.35
17.403,1.35
17.413,1.35
17.423,1.35
17.433,1.35
17.443,1.35
17.453,1.35
17.46,1.35
17.486,1.35
17.493,1.35
17.499,1.35
17.506,1.35
17.512,1.35
17.519,1.35
17.525,1.35
17.532,1.35
17.538,1.35
17.545,1.35
17.55,1.35
17.554,1.35
17.558,1.35
17.561,1.35
17.567,1.35
17.571,1.35
17.575,1.35
17.579,1.35
17.582,1.35
17.583,1.35
17.597,1.35
17.612,1.35
17.626,1.35
17.641,1.35
17.658,1.35
17.664,1.35
17.672,1.35
17.68,1.35
17.688,1.35
17.696,1.35
17.704,1.35
17.712,1.35
17.72,1.35
17.728,1.35
17.737,1.35
17.744,1.35
17.752,1.35
17.76,1.35
17.767,1.35
17.775,1.35
17.783,1.35
17.79,1.35
17.797,1.35
17.805,1.35
17.812,1.35
17.819,1.35
17.827,1.35
17.833,1.35
17.839,1.35
17.845,1.35
17.852,1.35
17.858,1.35
17.864,1.35
17.871,1.35
17.877,1.35
17.884,1.35
17.891,1.35
17.897,1.35
17.904,1.35
17.911,1.35
17.917,1.35
17.924,1.35
17.931,1.35
17.937,1.35
17.944,1.35
17.948,1.35
17.952,1.35
17.957,1.35
17.961,1.35
17.965,1.35
17.97,1.35
17.974,1.35
17.978,1.35
17.982,1.35
17.987,1.35
17.991,1.35
17.995,1.35
18,1.35
18.005,1.35
18.011,1.35
18.017,1.35
18.023,1.35
18.029,1.35
18.033,1.35
18.035,1.35
18.042,1.35
18.046,1.35
18.048,1.35
18.053,1.35
18.059,1.35
18.065,1.35
18.078,1.35
18.084,1.35
18.089,1.35
18.095,1.35
18.102,1.35
18.108,1.35
18.114,1.35
18.12,1.35
18.124,1.35
18.129,1.35
18.135,1.35
18.14,1.35
18.144,1.35
18.149,1.35
18.155,1.35
18.16,1.35
18.165,1.35
18.17,1.35
18.174,1.35
18.179,1.35
18.185,1.35
18.19,1.35
18.194,1.35
18.199,1.35
18.205,1.35
18.21,1.35
18.215,1.35
18.22,1.35
18.224,1.35
18.227,1.35
18.231,1.35
18.234,1.35
18.237,1.35
18.24,1.35
18.243,1.35
18.247,1.35
18.25,1.35
18.253,1.35
18.256,1.35
18.259,1.35
18.262,1.35
18.265,1.35
18.272,1.35
18.28,1.35
18.289,1.35
18.297,1.35
18.305,1.35
18.313,1.35
18.319,1.35
18.327,1.35
18.332,1.35
18.336,1.35
18.339,1.35
18.343,1.35
18.348,1.35
18.352,1.35
18.356,1.35
18.361,1.35
18.364,1.35
18.368,1.35
18.372,1.35
18.375,1.35
18.378,1.35
18.381,1.35
18.385,1.35
18.388,1.35
18.392,1.35
18.395,1.35
18.398,1.35
18.401,1.35
18.405,1.35
18.411,1.35
18.419,1.35
18.422,1.35
18.426,1.35
18.429,1.35
18.432,1.35
18.435,1.35
18.438,1.35
18.441,1.35
18.444,1.35
18.447,1.35
18.45,1.35
18.456,1.35
18.464,1.35
18.473,1.35
18.483,1.35
18.492,1.35
18.502,1.35
18.507,1.35
18.512,1.35
18.52,1.35
18.524,1.35
18.527,1.35
18.531,1.35
18.536,1.35
18.54,1.35
18.543,1.35
18.547,1.35
18.552,1.35
18.559,1.35
18.565,1.35
18.571,1.35
18.576,1.35
18.582,1.35
18.589,1.35
18.595,1.35
18.599,1.35
18.603,1.35
18.609,1.35
18.613,1.35
18.619,1.35
18.622,1.35
18.626,1.35
18.63,1.35
18.632,1.35
18.635,1.35
18.639,1.35
18.644,1.35
18.649,1.35
18.653,1.35
18.662,1.35
18.667,1.35
18.671,1.35
18.676,1.35
18.68,1.35
18.685,1.35
18.689,1.35
18.694,1.35
18.699,1.35
18.703,1.35
