TuningAge(Ka),d13C
0,0.096
0.0036,0.243
0.0174,0.123
0.0188,-0.121
0.0241,-0.217
0.0281,-0.129
0.0294,-0.113
0.0307,-0.189
0.0334,-0.123
0.0358,0.064
0.0369,-0.002
0.0381,-0.073
0.0393,0.108
0.0416,-0.053
0.0428,-0.262
0.044,0.126
0.0451,0.169
0.0463,0.239
0.0475,0.033
0.0487,-0.219
0.0498,0.066
0.051,-0.047
0.0512,-0.026
0.0515,-0.102
0.0517,0.18
0.052,-0.259
0.0522,-0.064
0.0525,-0.196
0.0527,-0.311
0.053,-0.319
0.0532,-0.37
0.0535,-0.334
0.0537,-0.274
0.054,-0.192
0.0542,-0.386
0.0579,-0.331
0.0692,-0.421
0.0729,-0.629
0.0739,0.312
0.0749,-0.008
0.0759,0.181
0.0769,-0.029
0.0778,0.029
0.0788,0
0.0798,0.039
0.0818,-0.075
0.0877,-0.152
0.0936,-0.148
0.0995,-0.591
0.0998,-0.112
0.1,-0.128
0.1003,-0.013
0.1005,-0.328
0.1008,-0.01
0.101,-0.278
0.1037,-0.134
0.1063,-0.151
0.109,-0.046
0.1116,-0.086
0.1143,-0.239
0.1169,-0.211
0.1251,-0.335
0.127,-0.237
0.1304,-0.33
0.1322,-0.345
0.1373,-0.049
0.1391,-0.42
0.1408,-0.558
0.1418,-0.21
0.1429,-0.418
0.1439,-0.429
0.1449,-0.089
0.146,-0.398
0.147,-0.139
0.1521,-0.561
0.1573,0.215
0.159,-0.551
0.1607,-0.553
0.1619,-0.102
0.163,0.076
0.1642,-0.451
0.1654,-0.503
0.1665,-0.209
0.1677,-0.549
0.1688,-0.229
0.17,-0.528
0.1729,-0.544
0.1757,-0.173
0.1786,-0.447
0.1843,-0.46
0.1872,-0.101
0.1878,0.223
0.1943,0.577
0.2045,-0.025
0.2067,-0.044
0.2088,-0.045
0.211,-0.076
0.2144,0.14
0.2195,-0.194
0.2201,-0.389
0.2207,0.075
0.222,-0.535
0.2232,-0.07
0.2238,-0.153
0.2244,-0.051
0.2262,-0.525
0.2274,-0.141
0.228,-0.221
0.2286,-0.445
0.2299,-0.363
0.2311,0.034
0.2317,-0.473
0.2323,-0.573
0.2329,-0.333
0.2335,0.007
0.2346,-0.126
0.2362,-0.076
0.2411,-0.312
0.2427,-0.433
0.2443,-0.259
0.2462,-0.134
0.248,-0.434
0.2517,-0.446
0.2552,-0.351
0.2569,-0.42
0.2586,-0.429
0.2603,-0.468
0.2636,-0.513
0.2653,-0.618
0.267,-0.568
0.2703,-0.581
0.2715,-0.186
0.2728,-0.507
0.274,-0.541
0.2765,-0.865
0.2778,-0.618
0.2802,-0.235
0.2815,-0.14
0.2827,-0.145
0.2852,0.372
0.2865,-0.196
0.2877,-0.377
0.2892,-0.386
0.2907,-0.462
0.2922,-0.602
0.2935,-0.521
0.2948,-0.484
0.296,-0.434
0.2973,-0.435
0.2986,-0.406
0.2999,-0.481
0.3012,-0.438
0.3024,-0.193
0.3037,-0.281
0.305,-0.235
0.3088,-0.362
0.3125,-0.369
0.3208,-0.207
0.3236,0.031
0.3264,-0.217
0.3279,-0.249
0.3294,-0.293
0.3309,-0.356
0.3403,-0.477
0.3425,-0.532
0.3459,-0.216
0.347,-0.574
0.3496,-0.606
0.3523,-0.543
0.3549,-0.493
0.3602,-0.087
0.3629,-0.391
0.3655,0.056
0.3658,-0.221
0.366,-0.3
0.3719,-0.364
0.3795,-0.248
0.3896,0.095
0.3898,-0.31
0.3912,-0.241
0.3926,0.253
0.394,0.12
0.3954,-0.12
0.3969,0.117
0.3983,0.247
0.4025,0.177
0.4039,-0.046
0.4051,0.134
0.4063,0.124
0.4076,0.026
0.4083,-0.087
0.4095,-0.15
0.4101,-0.136
0.4104,-0.278
0.4108,-0.368
0.4111,-0.535
0.4114,-0.517
0.4117,-0.545
0.412,-0.581
0.4124,-0.494
0.4133,-0.487
0.414,-0.461
0.4173,-0.394
0.4225,-0.48
0.427,-0.622
0.4316,-0.5
0.4361,-0.641
0.4388,-0.66
0.4395,-0.553
0.4403,-0.596
0.441,-0.566
0.4439,-0.46
0.4469,-0.509
0.4498,-0.512
0.4566,-0.769
0.4761,0.011
0.4778,0.203
0.4795,0.2
0.4813,0.242
0.483,0.063
0.4886,0.166
0.4928,-0.256
0.4987,0.073
0.5024,-0.073
0.5121,0.113
0.518,0.273
0.5208,0.175
0.5231,0.266
0.5253,-0.044
0.5276,0
0.5298,-0.089
0.5321,-0.448
0.5343,-0.137
0.5359,-0.181
0.537,-0.095
0.5381,-0.359
0.5392,-0.172
0.5403,-0.331
0.5414,-0.415
0.5425,0.007
0.5436,-0.364
0.5447,-0.284
0.5458,-0.349
0.548,-0.318
0.5495,-0.05
0.5525,-0.311
0.5554,-0.219
0.5569,0.056
0.5587,0
0.564,-0.196
0.5725,-0.441
0.5811,-0.36
0.5831,-0.334
0.5851,-0.218
0.587,-0.406
0.589,-0.375
0.591,0.153
0.594,-0.347
0.5969,-0.208
0.5999,-0.204
0.6019,-0.134
0.606,-0.186
0.608,-0.455
0.6115,-0.273
0.615,-0.027
0.6186,0.077
0.6221,0.009
0.6256,-0.582
0.6258,-0.486
0.6261,-0.273
0.6266,-0.428
0.627,-0.429
0.6273,-0.371
0.6275,-0.473
0.6278,-0.457
0.628,-0.474
0.6398,-0.454
0.6516,-0.502
0.6566,-0.666
0.6615,-0.605
0.6665,-0.278
0.6676,-0.685
0.6687,-0.823
0.6698,-0.669
0.6709,-0.25
0.672,-0.453
0.6739,-0.702
0.6814,-0.651
0.6832,-0.429
0.6851,-0.596
0.6852,-0.48
0.6854,-0.139
0.6855,-0.213
0.6856,-0.211
0.6946,0.211
0.7127,-0.261
0.7128,0.023
0.7129,-0.07
0.7129,-0.138
0.713,-0.166
0.7139,-0.2
0.7147,-0.207
0.7156,-0.36
0.7165,-1.176
0.7174,-0.39
0.7191,-0.727
0.7278,-0.46
0.7365,-0.517
0.7411,-0.448
0.7417,0.087
0.7424,-0.218
0.743,-0.184
0.7449,-0.253
0.7468,-0.577
0.7513,-0.584
0.7559,-0.35
0.7604,-0.503
0.7649,-0.528
0.7653,-0.441
0.7657,-0.626
0.7661,-0.169
0.7671,-0.611
0.7682,-0.466
0.7723,-0.374
0.7733,-0.335
0.7743,-0.25
0.7753,-0.337
0.7764,-0.334
0.7774,-0.266
0.7784,-0.148
0.7794,-0.226
0.7805,-0.211
0.7815,-0.45
0.7856,-0.572
0.7897,-0.522
0.8116,-0.422
0.8119,-0.627
0.8122,-0.618
0.8125,-0.599
0.8128,-0.615
0.8136,-0.557
0.8151,-0.481
0.8166,0.013
0.8181,-0.436
0.8196,-0.485
0.8211,-0.422
0.8226,-0.495
0.8296,-0.636
0.8367,-0.353
0.837,-0.471
0.8372,-0.438
0.8375,-0.545
0.8416,-0.513
0.8458,-0.296
0.8499,-0.372
0.854,-0.343
0.856,-0.316
0.8622,-0.366
0.8637,-0.405
0.8646,-0.703
0.8655,-0.594
0.8691,-0.701
0.87,-0.543
0.8709,-0.662
0.8718,-0.695
0.8727,-0.818
0.8736,-0.731
0.8745,-0.72
0.8764,-0.205
0.8787,-0.337
0.8807,-0.689
0.8826,-0.688
0.8865,-0.488
0.8984,-0.488
0.9023,-0.628
0.9044,-0.635
0.9066,-0.763
0.9087,-0.681
0.9108,-0.8
0.913,-0.847
0.9151,-0.772
0.9176,-0.85
0.9226,-0.618
0.9276,-0.712
0.9288,-0.547
0.9301,-0.573
0.9313,-0.425
0.9338,-0.825
0.935,-0.492
0.9408,-0.197
0.9466,-0.326
0.9493,-0.136
0.9519,-0.305
0.9545,-0.382
0.9572,-0.576
0.9601,-0.714
0.9658,-0.366
0.9686,-0.251
0.9713,-0.287
0.9726,-0.317
0.9739,-0.148
0.9751,-0.43
0.9818,0.036
0.9964,0.081
0.997,-0.432
0.9976,-0.067
0.9982,-0.123
0.9987,-0.13
0.9993,-0.289
0.9999,-0.357
1.0055,-0.243
1.0084,-0.039
1.014,-0.105
1.0168,0.132
1.0196,-0.07
1.0223,-0.108
1.0251,-0.153
1.0279,-0.333
1.0307,-0.118
1.031,-0.22
1.0312,-0.462
1.0315,-0.326
1.0318,-0.464
1.0321,-0.604
1.0323,-0.593
1.0326,-0.51
1.0383,-0.2
1.0439,-0.299
1.0496,-0.686
1.0538,-0.029
1.0565,-0.257
1.0593,0.139
1.062,-0.341
1.0648,-0.05
1.0676,-0.122
1.0703,-0.131
1.0731,-0.281
1.0746,0.171
1.0762,-0.06
1.0769,-0.114
1.0777,-0.035
1.0824,-0.275
1.087,-0.287
1.0957,-0.188
1.0991,-0.263
1.1058,-0.061
1.1092,-0.348
1.1136,0.182
1.1179,-0.122
1.124,-0.456
1.1264,-0.476
1.1308,-0.565
1.1341,-0.554
1.1358,-0.498
1.1374,-0.431
1.1391,-0.313
1.1408,-0.277
1.1443,-0.149
1.146,-0.29
1.1475,-0.025
1.1504,0.274
1.1534,0.126
1.1549,0.131
1.1564,0.16
1.1579,0.179
1.1604,0.073
1.1638,0.083
1.1677,0.1
1.1718,0.079
1.1759,0.047
1.1847,-0.111
1.1913,-0.545
1.197,-0.385
1.2012,-0.135
1.2054,-0.395
1.2138,-0.363
1.2145,-0.416
1.2151,-0.374
1.2158,-0.561
1.2165,-0.614
1.2172,-0.121
1.2185,-0.069
1.2198,-0.32
1.2245,0.026
1.2302,-0.11
1.2323,-0.096
1.2344,-0.22
1.2365,-0.203
1.2439,-0.241
1.2482,-0.524
1.2525,-0.645
1.2568,-0.651
1.26,-0.462
1.2619,-0.381
1.2638,-0.3
1.2656,-0.419
1.2675,-0.287
1.2693,-0.49
1.2712,-0.152
1.273,-0.271
1.275,-0.019
1.277,0.069
1.279,0.025
1.2811,-0.096
1.2831,-0.305
1.2851,-0.077
1.2871,-0.399
1.2906,-0.491
1.2941,-0.371
1.297,-0.631
1.2992,-0.343
1.3015,-0.548
1.3039,-0.515
1.3063,-0.331
1.311,-0.166
1.3118,-0.029
1.314,-0.01
1.3214,-0.333
1.3239,-0.263
1.3263,-0.333
1.3288,-0.47
1.3312,-0.581
1.3335,-0.39
1.3359,-0.484
1.3382,-0.447
1.3406,-0.479
1.3429,-0.635
1.3451,0.126
1.3473,-0.171
1.3495,-0.091
1.3518,-0.169
1.354,0.149
1.3611,-0.149
1.3627,-0.233
1.3642,-0.487
1.3658,-0.396
1.3674,-0.414
1.369,-0.417
1.3713,-0.356
1.3736,-0.348
1.3759,-0.302
1.3793,-0.276
1.3887,0.07
1.3926,-0.279
1.3957,0.105
1.4037,-0.198
1.408,-0.189
1.4085,-0.251
1.4096,-0.502
1.4107,-0.38
1.4128,-0.521
1.415,-0.379
1.418,-0.321
1.421,-0.257
1.424,-0.231
1.427,-0.132
1.43,-0.042
1.4336,0.004
1.4372,0.136
1.4479,-0.149
1.4493,-0.063
1.4522,-0.311
1.4534,-0.74
1.4558,-0.46
1.457,-0.513
1.4582,-0.265
1.4594,-0.337
1.4618,-0.246
1.463,0.074
1.4642,0.023
1.4679,-0.339
1.4715,0.176
1.4752,0.281
1.478,0.216
1.4807,0.062
1.4835,0.112
1.4863,0.154
1.4897,0.175
1.493,-0.391
1.4967,-0.291
1.5003,-0.039
1.504,-0.106
1.5091,-0.19
1.5141,0.012
1.5165,0.144
1.519,0.297
1.5215,-0.04
1.5239,0.11
1.524,0.272
1.5242,0.214
1.5243,0.141
1.5245,-0.298
1.5246,-0.288
1.5264,-0.281
1.5283,-0.436
1.5301,-0.372
1.5319,-0.266
1.5338,-0.281
1.5356,-0.325
1.5374,0.092
1.5392,-0.319
1.5411,0.327
1.5429,-0.065
1.5431,-0.105
1.5433,-0.078
1.5435,-0.133
1.5463,0.071
1.5491,0.007
1.5519,0.155
1.5547,0.098
1.5578,0.133
1.5609,-0.159
1.564,-0.193
1.5676,-0.21
1.5711,-0.142
1.5747,-0.277
1.5782,-0.209
1.5825,-0.268
1.5826,-0.219
1.5828,-0.071
1.5829,-0.112
1.583,-0.046
1.589,-0.228
1.592,-0.06
1.595,0.009
1.598,-0.005
1.601,0.063
1.604,0.112
1.607,0.309
1.612,0.04
1.6169,-0.558
1.6287,-0.066
1.6313,-0.019
1.634,-0.027
1.6344,-0.032
1.6348,-0.175
1.6351,-0.122
1.6355,0.011
1.6359,0.209
1.6385,0.092
1.6412,0.139
1.6465,0.193
1.6501,-0.027
1.6533,-0.028
1.6564,-0.328
1.6596,-0.126
1.664,-0.128
1.6652,-0.103
1.6664,-0.157
1.6676,-0.536
1.6688,-0.518
1.67,-0.026
1.6712,-0.104
1.6724,-0.122
1.6736,-0.315
1.6749,-0.118
1.6761,-0.095
1.6768,-0.077
1.6775,-0.078
1.6782,-0.066
1.6788,-0.015
1.6795,0.007
1.6812,-0.097
1.6828,-0.014
1.6845,-0.337
1.689,-0.372
1.6934,-0.465
1.6979,-0.393
1.6995,-0.602
1.701,-0.517
1.7026,-0.431
1.7041,-0.496
1.7057,-0.432
1.7072,-0.209
1.7088,-0.366
1.7103,-0.188
1.7124,0.221
1.715,-0.33
1.7177,-0.368
1.7203,-0.26
1.7213,-0.305
1.7224,-0.402
1.7234,-0.294
1.7244,-0.208
1.7255,-0.438
1.7284,-0.405
1.7332,-0.209
1.7379,-0.402
1.7412,-0.574
1.7429,-0.489
1.7447,-0.156
1.7464,-0.311
1.7482,-0.043
1.7499,0.092
1.7517,0.041
1.7537,0.114
1.7563,0.178
1.759,0.045
