Age (Ma) (automatic) (3),d13Cvpdb
18.953,1.098
19.085,0.988
19.152,1.140
19.218,1.101
19.285,1.028
19.351,0.917
19.362,1.120
19.424,0.930
19.487,1.092
19.500,0.996
19.567,1.100
19.567,0.818
19.617,0.750
19.652,0.813
19.717,0.660
20.176,0.820
20.274,0.813
20.358,0.840
20.437,0.821
20.440,0.854
20.509,0.948
20.637,1.054
20.708,0.820
20.798,0.587
20.865,0.890
20.910,1.101
20.926,1.156
20.971,0.990
20.987,0.890
21.032,1.120
21.048,0.776
21.090,1.060
21.097,1.083
21.132,0.560
21.174,0.865
21.217,0.500
21.261,0.826
21.305,0.872
21.349,1.048
21.393,1.230
21.439,1.099
21.555,0.618
21.558,0.522
21.564,0.658
21.568,0.652
21.573,0.701
21.577,1.029
21.582,0.497
21.586,0.645
21.590,0.289
21.595,0.930
21.599,0.769
21.602,0.740
21.604,0.833
21.611,0.208
21.613,0.339
21.617,0.482
21.625,0.780
21.637,0.357
21.641,0.662
21.643,1.304
21.645,0.832
21.646,1.360
21.646,1.360
21.648,0.814
21.656,0.644
21.663,1.023
21.665,1.116
21.667,0.996
21.669,1.018
21.672,1.113
21.677,0.668
21.679,0.490
21.681,0.883
21.682,0.630
21.683,0.708
21.685,0.611
21.689,0.901
21.694,0.810
21.699,0.996
21.707,0.333
21.715,1.035
21.723,0.806
21.728,0.850
21.732,0.652
21.736,0.930
21.738,1.564
21.740,1.043
21.743,0.881
21.745,0.862
21.751,0.692
21.756,0.877
21.763,1.120
21.769,0.870
21.775,1.217
21.777,0.928
21.779,1.100
21.780,1.282
21.782,1.222
21.785,1.191
21.787,1.145
21.790,1.500
21.793,1.231
21.799,1.384
21.806,1.343
21.812,1.135
21.818,1.365
21.821,1.130
21.832,1.232
21.847,0.945
21.849,1.200
21.863,1.105
21.867,1.330
21.875,1.414
21.890,1.150
21.899,1.290
21.920,1.330
21.930,1.347
21.931,0.920
21.942,1.254
21.962,1.480
21.971,1.438
21.978,1.171
22.012,1.244
22.035,1.200
22.044,1.234
22.062,1.161
22.085,1.412
22.104,0.857
22.122,1.202
22.130,1.275
22.146,0.928
22.149,1.482
22.151,1.591
22.152,1.398
22.155,0.939
22.156,1.299
22.157,1.650
22.159,1.509
22.159,1.567
22.162,1.522
22.163,1.460
22.164,1.335
22.166,1.503
22.169,1.279
22.174,1.387
22.177,0.749
22.180,1.369
22.182,1.438
22.190,1.230
22.213,1.275
22.215,1.240
22.224,1.121
22.229,0.320
22.236,1.185
22.247,1.483
22.250,1.374
22.255,1.339
22.259,1.240
22.265,1.243
22.273,1.451
22.277,1.571
22.280,1.429
