age_calkaBP,d13Cc.wuell
0,1.14
0.0023,1.14
0.0046,0.97
0.0069,0.76
0.0092,0.63
0.0115,0.71
0.0143,0.74
0.0181,0.64
0.0219,0.69
0.0257,0.53
0.0294,0.58
0.0332,0.5
0.0363,0.61
0.0416,0.83
0.0446,0.49
0.0484,0.39
0.0522,0.56
0.056,0.62
0.0598,0.81
0.0636,0.58
0.0674,0.6
0.0712,0.29
0.075,0.79
0.0821,0.6
0.0892,0.31
0.0963,0.39
0.1022,0.51
0.106,0.9
0.1097,0.67
0.1134,0.57
0.1208,0.86
0.1246,0.23
0.1283,0.61
0.132,0.2
0.1375,0.21
0.143,-0.01
0.1485,0.2
0.154,0.34
0.1595,-0.13
0.165,0.24
0.1705,0.14
0.176,0.33
0.1815,0.05
0.187,0.38
0.1925,0.77
0.198,0.48
0.2035,0.61
0.209,0.36
0.2145,0.48
0.22,0.78
0.2294,0.5
0.2387,0.38
0.2471,0.49
0.252,-0.09
0.257,0.63
0.2619,0.11
0.2669,0.56
0.2718,0.47
0.2768,0.27
0.2817,0.51
0.2872,1.06
0.2937,0.57
0.3002,0.76
0.3066,0.94
0.3131,0.74
0.3196,0.79
0.3261,0.71
0.3325,0.8
0.338,0.44
0.3422,0.33
0.3464,0.54
0.3549,0.63
0.3592,0.32
0.3634,0.17
0.3676,0.52
0.3719,0.14
0.3761,0.81
0.3804,1.12
0.3846,0.83
0.3888,0.78
0.3931,0.66
0.3973,0.67
0.4015,0.87
0.4058,0.91
0.4143,0.82
0.4185,0.7
0.4227,0.79
0.4261,0.74
0.4307,0.17
0.433,0.37
0.4353,0.65
0.4376,0.85
0.4399,0.66
0.4422,0.73
0.4445,0.02
0.4468,0.3
0.4491,0.24
0.4514,0.83
0.4577,0.58
0.464,0.52
0.4703,0.64
0.4766,0.83
0.483,1.07
0.4893,0.79
0.4956,1.33
0.5019,1.19
0.5082,0.84
0.5132,0.78
0.5163,1.12
0.5195,0.8
0.5226,0.85
0.5257,1.11
0.5288,0.93
0.5319,0.93
0.535,0.78
0.5381,0.82
0.5412,0.76
0.545,0.4
0.5549,0.62
0.5648,0.32
0.5747,0.78
0.5846,0.71
0.5945,0.91
0.6009,0.51
0.6066,0.67
0.6124,0.12
0.6181,0.2
0.6239,0.58
0.6274,0.32
0.6354,0.45
0.6412,0.46
0.6527,0.5
0.6584,0.35
0.6642,0.39
0.6699,0.65
0.6757,0.32
0.6815,0.21
0.6872,0.78
0.693,0.9
0.6987,0.62
0.7045,0.68
0.7102,0.7
0.716,0.78
0.724,0.47
0.732,0.33
0.74,0.56
0.7521,0.55
0.757,0.34
0.7619,0.45
0.7667,0.53
0.7716,0.61
0.7765,0.6
0.7785,0.7
0.7833,0.34
0.7882,0.55
0.7931,0.56
0.798,0.38
0.8036,0.49
0.8093,0.39
0.8149,0.66
0.8205,0.45
0.8261,0.49
0.8318,0.37
0.8374,0.74
0.843,0.7
0.8486,0.62
0.8543,0.58
0.8599,0.56
0.8655,0.37
0.8705,0.14
0.8749,-0.16
0.8793,0.49
0.8838,0.51
0.8882,0.55
0.8926,0.43
0.8971,0.37
0.9015,0.44
0.906,0.4
0.9104,0.66
0.9148,0.65
0.9197,0.35
0.9247,0.56
0.9296,0.57
0.9346,0.73
0.9395,0.7
0.9445,0.65
0.9544,0.6
0.9594,0.64
0.9644,0.87
0.9693,0.77
0.9743,0.62
0.9793,0.61
0.9842,0.81
0.9892,0.79
0.9942,0.52
0.9991,0.72
1.0041,0.61
1.009,0.81
1.014,0.84
1.019,0.79
1.0239,0.74
1.0289,0.91
1.0335,0.62
1.0374,0.78
1.0413,0.67
1.0452,0.5
1.0491,0.54
1.053,0.67
1.0569,0.61
1.0608,0.75
1.0647,0.86
1.0686,0.7
1.0722,0.85
1.0758,0.6
1.0793,0.85
1.0829,0.41
1.0865,0.94
1.0901,0.84
1.0936,0.73
1.0972,0.68
1.1008,0.71
1.1044,0.83
1.1079,0.29
1.1115,0.63
1.1151,0.66
1.1186,0.42
1.1222,0.53
1.131,0.67
1.1357,0.95
1.1404,0.76
1.1451,1.05
1.1498,0.92
1.1545,0.99
1.1592,0.96
1.1639,0.78
1.1686,1.02
1.1732,0.9
1.1779,0.71
1.1826,0.63
1.1873,0.36
1.192,0.17
1.1957,0.84
1.1994,0.53
1.2031,0.68
1.2105,0.73
1.2141,0.65
1.2178,0.7
1.2215,0.8
1.2252,0.93
1.2289,0.87
1.2326,0.72
1.2363,0.71
1.24,0.87
1.2437,0.9
1.2474,0.89
1.251,0.55
1.2553,0.61
1.2595,0.53
1.2637,0.67
1.2679,0.67
1.2721,0.72
1.2763,0.87
1.2805,0.85
1.2847,0.68
1.2889,0.7
1.2932,0.54
1.2974,0.92
1.3016,0.76
1.3047,0.9
1.3079,0.86
1.3111,0.64
1.3142,0.88
1.3174,0.28
1.3205,0.43
1.3237,0.83
1.3268,0.59
1.33,0.55
1.3332,0.56
1.3363,0.48
1.3395,0.39
1.3426,0.62
1.3458,0.62
1.349,1
1.3521,0.9
1.3553,1.07
1.3584,0.72
1.3616,0.65
1.3647,0.92
1.3679,0.79
1.3711,0.87
1.3742,0.65
1.3774,0.46
1.3805,0.76
1.3837,1.08
1.3869,0.74
1.39,0.73
1.3932,0.71
1.3963,0.43
1.4014,0.9
1.4065,0.91
1.4115,0.59
1.4166,0.69
1.4217,0.75
1.4288,0.44
1.4318,0.86
1.4369,0.77
1.442,0.7
1.4471,0.87
1.4521,0.81
1.4572,1.21
1.4617,0.92
1.4661,0.57
1.4706,0.56
1.4794,0.88
1.4838,0.66
1.4882,0.91
1.4926,0.96
1.4971,0.63
1.5015,0.56
1.5059,0.83
1.5103,0.34
1.5147,0.9
1.5192,1.09
1.5236,0.82
1.528,1.06
1.5322,0.89
1.5362,0.93
1.5403,1.24
1.5443,0.95
1.5483,0.9
1.5523,1.09
1.5564,0.9
1.5604,0.88
1.5644,1.01
1.5685,1.12
1.5725,0.85
1.578,1.12
1.5835,1.01
1.589,0.86
1.5946,0.78
1.6001,0.9
1.6053,1.1
1.6102,0.88
1.6152,1.2
1.6202,1
1.6251,0.92
1.6301,1.06
1.6351,1
1.64,0.78
1.645,0.79
1.6474,0.89
1.6498,0.88
1.6522,0.84
1.6546,0.81
1.657,0.56
1.6594,1.06
1.6618,1.07
1.6642,0.76
1.6666,0.7
1.669,1.15
1.6738,1.07
1.6761,0.93
1.6785,0.55
1.6809,0.92
1.6833,0.86
1.6857,0.84
1.6881,0.99
1.6905,1.06
1.6929,1.07
1.6953,0.95
1.6977,1.04
1.7001,0.9
1.7025,0.98
1.706,0.88
1.7094,0.81
1.7129,0.74
1.7163,1.08
1.7198,1.02
1.7233,0.91
1.7267,0.92
1.7302,0.75
1.7337,0.82
1.7371,0.64
1.7406,0.52
1.744,0.57
1.7475,0.45
1.7496,0.68
1.7516,0.65
1.7537,0.67
1.7558,0.75
1.7578,0.42
1.7599,1.14
1.762,0.89
1.764,0.83
1.7661,0.78
1.7682,0.89
1.7702,1.03
1.7723,0.97
1.7744,1.06
1.7764,0.99
1.7785,0.99
1.7806,0.94
1.7868,0.97
1.7889,0.88
1.7951,0.86
1.7971,0.82
1.7991,0.95
1.8012,0.97
1.8032,0.75
1.8053,0.88
1.8073,0.94
1.8093,0.92
1.8114,0.83
1.8134,0.72
1.8155,0.8
1.8175,1.08
1.8204,0.73
1.8262,0.96
1.8292,0.49
1.8321,0.9
1.835,1.14
1.8379,1.03
1.8408,1.09
1.8437,0.82
1.8466,0.99
1.8496,1.04
1.8525,1.11
1.8554,0.91
1.8583,0.79
1.8612,0.82
1.8641,0.74
1.8673,0.62
1.8705,0.82
1.8738,0.66
1.877,0.54
1.8835,0.77
1.8867,1.09
1.89,0.58
1.8932,1.01
