Age [Ma BP],Foram bent d13C [per mil PDB]
14.837,1.245
14.842,1.272
14.847,1.427
14.852,1.46
14.856,1.514
14.861,1.59
14.866,1.367
14.871,1.193
14.876,1.156
14.881,1.112
14.886,1.138
14.891,1.249
14.895,1.378
14.9,1.327
14.905,1.218
14.91,1.437
14.915,1.403
14.92,1.435
14.925,1.255
14.93,1.41
14.934,1.212
14.939,0.975
14.944,1.221
14.949,1.16
14.954,1.324
14.959,1.468
14.964,1.143
14.968,1.164
14.973,1.404
14.978,1.647
14.983,1.414
14.988,1.399
14.993,1.411
14.998,1.467
15.003,1.476
15.007,1.434
15.012,1.588
15.017,1.59
15.022,1.496
15.027,1.29
15.032,1.242
15.037,1.454
15.042,1.438
15.046,1.427
15.051,1.303
15.056,1.588
15.061,1.643
15.066,1.692
15.071,1.7
15.077,1.425
15.081,1.432
15.087,1.448
15.093,1.573
15.1,1.677
15.106,1.591
15.113,1.584
15.119,1.339
15.125,1.373
15.131,1.515
15.138,1.346
15.144,1.234
15.15,1.318
15.156,1.25
15.162,1.177
15.169,1.283
15.175,1.138
15.181,1.101
15.187,1.443
15.193,0.85
15.198,1.191
15.204,1.294
15.208,1.087
15.214,1.354
15.219,1.107
15.224,1.093
15.229,1.504
15.233,1.18
15.24,0.913
15.247,1.276
15.254,1.475
15.261,1.543
15.268,1.301
15.275,1.338
15.279,1.33
15.286,1.28
15.29,1.15
15.294,1.34
15.298,1.33
15.302,1.32
15.306,1.23
15.309,1.14
15.313,1.35
15.317,1.48
15.321,1.43
15.325,1.46
15.332,1.28
15.336,1.42
15.339,1.37
15.343,1.39
15.346,1.6
15.35,1.45
15.353,1.3
15.357,1.47
15.36,1.61
15.364,1.46
15.367,1.13
15.371,1.36
15.374,1.57
15.378,1.52
15.381,1.49
15.385,1.52
15.388,1.62
15.392,1.37
15.395,1.35
15.399,1.52
15.402,1.05
15.405,1.26
15.408,1.63
15.411,1.47
15.412,1.653
15.415,1.701
15.418,1.642
15.433,1.521
15.436,1.654
15.439,1.61
15.442,1.665
15.445,1.733
15.448,1.713
15.451,1.555
15.454,1.723
15.457,1.572
15.46,1.406
15.462,1.323
15.465,1.332
15.468,1.616
15.471,1.477
15.474,1.502
15.477,1.407
15.481,1.684
15.485,1.465
15.489,1.063
15.493,1.015
15.496,1.527
15.501,1.396
15.506,1.504
15.51,1.548
15.514,1.307
15.518,1.431
15.522,1.37
15.526,1.482
15.53,1.569
15.535,1.492
15.539,1.571
15.543,1.494
15.547,1.445
15.549,1.329
15.553,1.426
15.557,1.246
15.562,1.136
15.566,0.725
15.57,0.707
15.572,0.8
15.575,1.242
15.578,0.861
15.581,0.763
15.584,0.606
15.587,1.135
15.59,0.956
15.593,0.664
15.597,0.538
15.598,1.12
15.603,0.82
15.608,0.97
15.613,1.25
15.617,1.48
15.622,1.3
15.627,1.27
15.632,1.41
15.637,1.59
15.642,1.59
15.647,1.45
15.652,1.17
15.657,1.39
15.661,1.38
15.666,1.13
15.671,1.16
15.676,1.2
15.681,1.37
15.686,1.34
15.691,1.19
15.696,1.39
15.7,1.41
15.705,1.25
15.71,1.11
15.715,1.6
15.72,1.31
15.726,1.32
15.733,1.61
15.74,1.62
15.747,1.48
15.753,1.47
15.76,1.63
15.767,1.54
15.773,1.54
15.78,1.64
15.787,1.68
15.794,1.5
15.8,1.34
