Age dated [ka] (D17_MT),Foram bent d13C [per mil PDB] (with respect to VPDB)
5.927,-0.21
5.928,-0.27
5.931,-0.1
5.932,-0.21
5.936,-0.31
5.937,-0.19
5.942,-0.56
5.945,-0.11
5.946,-0.26
5.95,-0.27
5.951,-0.21
5.954,-0.13
5.956,-0.7
5.959,-0.2
5.96,-0.22
5.963,-0.22
5.965,0.02
5.968,0.01
5.969,-0.05
5.973,0.13
5.974,0.02
5.977,-0.08
5.978,-0.09
5.982,0.05
5.983,-0.24
5.986,-0.37
5.987,-0.23
5.991,-0.29
5.992,-0.44
5.996,-0.17
5.997,-0.57
6,-0.69
6.005,-0.65
6.006,-0.19
6.01,-0.1
6.011,-0.1
6.013,-0.18
6.015,-0.12
6.018,-0.17
6.019,-0.04
6.022,-0.23
6.024,-0.25
6.027,-0.19
6.031,0
6.033,0.01
6.036,-0.62
6.037,-0.28
6.04,-0.14
6.042,-0.15
6.044,0.05
6.046,-0.1
6.049,0.08
6.051,-0.06
6.053,0.03
6.055,0.05
6.06,-0.14
6.062,-0.04
6.064,-0.34
6.069,-0.21
6.072,-0.42
6.073,-0.43
6.076,-0.39
6.08,-0.31
6.082,-0.07
6.085,-0.02
6.09,-0.07
6.091,0.16
6.094,0.15
6.095,0.19
6.099,0.03
6.1,-0.22
6.103,0.05
6.104,-0.32
6.107,-0.31
6.109,-0.26
6.111,-0.68
6.113,-0.4
6.116,-0.48
6.118,-0.57
6.121,-0.51
6.122,-0.51
6.125,-0.55
6.127,-0.56
6.129,-0.36
6.13,-0.03
6.134,0.07
6.136,0.06
6.139,-0.11
6.14,0.07
6.143,0.15
6.147,0.21
6.15,-0.05
6.152,0.11
6.154,0.2
6.157,-0.18
6.158,-0.02
6.162,-0.13
6.163,-0.03
6.166,-0.11
6.167,-0.29
6.171,-0.26
6.172,0.32
6.175,0.06
6.177,-0.03
6.18,-0.12
6.181,-0.09
6.185,-0.03
6.187,0.08
6.19,-0.02
6.192,-0.21
6.195,-0.27
6.196,-0.34
6.199,-0.04
6.2,-0.42
6.201,-0.41
6.202,-0.45
6.205,-0.3
6.207,-0.14
6.21,-0.14
6.211,-0.09
6.214,0.03
6.216,0.06
6.219,0.08
6.22,-0.06
6.223,-0.12
6.224,0.03
6.228,-0.03
6.229,-0.13
6.232,-0.56
6.234,-0.45
6.237,-0.18
6.239,-0.37
6.241,-0.25
6.243,-0.65
6.246,-0.28
6.247,-0.02
6.25,-0.09
6.251,0.16
6.255,0.16
6.256,0.18
6.259,0.37
6.26,0.28
6.264,-0.11
6.265,0.03
6.268,0.28
6.269,0.17
6.273,-0.02
6.274,-0.18
6.277,-0.39
6.278,-0.39
6.281,-0.72
6.283,-0.47
6.286,-0.36
6.29,-0.28
6.295,-0.59
6.296,-0.12
6.299,-0.23
6.3,-0.09
6.301,-0.01
6.302,-0.11
6.304,-0.07
6.305,-0.19
6.306,-0.29
6.307,-0.07
6.309,-0.19
6.31,-0.1
6.311,-0.13
6.312,-0.11
6.314,-0.33
6.315,-0.12
6.317,-0.33
6.317,-0.48
6.319,-0.51
6.32,-0.68
6.322,-0.48
6.322,-0.77
6.324,-0.08
6.325,-0.12
6.327,0.15
6.328,0.01
6.329,-0.31
