NewAgeModel (Ma),_13C [per mil PDB]
12.69437788,0.67
12.69904271,0.5
12.70370754,0.67
12.70930533,0.62
12.71397016,0.47
12.71863499,0.51
12.72329981,0.74
12.72889761,0.6
12.73356243,0.71
12.73822726,0.67
12.74289209,0.68
12.74848988,0.76
12.75315471,0.8
12.75595361,0.71
12.7587525,0.75
12.76061844,0.75
12.76341733,0.66
12.76621623,0.72
12.76901513,0.52
12.77088106,0.66
12.77367995,0.55
12.77647885,0.56
12.77927775,0.64
12.78114368,0.58
12.78394258,0.66
12.78674147,0.53
12.78674147,0.68
12.78954037,0.71
12.79337984,0.59
12.79612565,0.54
12.80024437,0.57
12.80436308,0.56
12.80848179,0.63
12.81260051,0.64
12.82221084,0.56
12.82632956,0.53
12.83044827,0.29
12.83456699,0.17
12.8386857,0.58
12.84280442,0.51
12.84829604,0.66
12.85241475,0.7
12.85653346,0.66
12.86065218,0.62
12.8661438,0.79
12.87163542,0.8
12.87849994,0.86
12.88399156,0.66
12.88948318,0.67
12.8949748,0.71
12.90046642,0.69
12.90595804,0.69
12.9112679,0.82
12.91504712,0.65
12.91807049,0.86
12.92109386,0.91
12.92411723,0.8
12.92714061,0.68
12.93016398,0.54
12.93394319,0.58
12.93696656,0.72
12.93998994,0.58
12.94225747,0.61
12.94528084,0.64
12.94754837,0.68
12.9498159,0.68
12.95208342,0.72
12.95435095,0.66
12.95661848,0.72
12.95888601,0.8
12.96190938,0.7
12.96417691,0.53
12.96644444,0.58
12.96871197,0.42
12.97173534,0.48
12.97400287,0.74
12.97702624,0.62
12.97778208,0.62
12.98004961,0.56
12.98307299,0.59
12.98534051,0.56
12.98836389,0.71
12.99136356,0.78
12.99618146,0.78
12.99979488,1.02
13.00461277,0.76
13.00702172,0.78
13.00943066,0.82
13.01304408,0.74
13.01545303,0.8
13.01786198,0.75
13.02027092,0.78
13.02267987,0.73
13.02508882,0.8
13.02870224,0.71
13.03111118,0.59
13.03352013,0.74
13.03592908,0.8
13.03833802,0.84
13.04074697,0.75
13.04436039,0.9
13.04676934,0.88
13.04917828,0.71
13.05158723,0.68
13.05399618,0.77
13.05640512,0.87
13.05881407,0.83
13.06122302,0.73
13.06363196,0.66
13.06604091,0.7
13.06844986,0.75
13.0708588,0.8
13.07276958,0.84
13.07440698,0.91
13.07604438,0.94
13.07768178,0.93
13.07931918,0.69
13.08095659,0.86
13.08259399,0.74
13.08423139,0.92
13.08668749,0.84
13.0883249,0.67
13.0899623,0.83
13.0915997,0.54
13.0932371,0.83
13.0948745,0.75
13.09651191,0.73
13.09814931,0.72
13.09978671,0.75
13.10142411,0.66
13.10388022,0.78
13.10633632,0.8
13.10879242,0.87
13.11124853,0.81
13.11370463,0.75
13.11616073,0.58
13.11861683,0.72
13.12107294,0.61
13.12352904,0.68
13.12598514,0.66
13.12844125,0.82
13.12844125,0.82
13.13089735,0.76
13.13346721,0.68
13.13761216,0.76
13.14175712,0.81
13.14590207,0.89
13.14901079,0.9
13.1521195,0.92
13.15626446,0.86
13.16040941,0.81
13.16455437,0.82
13.16869932,0.81
13.17180804,0.73
13.17595299,0.8
13.18009794,0.94
13.1842429,1.08
13.18838785,0.92
13.19253281,0.94
13.19667776,0.98
13.19978648,0.95
13.20393143,1.01
13.20807638,0.94
13.21222134,0.84
13.21533005,0.86
13.21843877,0.85
13.22258372,0.84
13.22569244,0.8
13.22569244,0.71
13.22880115,0.95
13.23294611,0.8
13.23605482,0.99
13.23605482,0.99
13.23916354,0.82
13.24227226,0.75
13.24641721,0.72
13.24952593,0.64
13.25263464,0.66
13.25574336,0.85
13.25781583,1.02
13.26092455,0.98
13.26403326,1.08
13.26610574,0.95
13.26921446,0.91
13.27439565,1.15
13.27750437,1.18
13.27957684,1.23
13.28268556,1.11
13.28579427,0.94
13.28786675,0.97
13.29097547,0.86
13.29304794,0.99
13.29615666,0.96
13.29926537,0.91
13.30133785,0.97
13.30444657,1.07
13.30755528,1.01
13.30962776,0.96
13.31273648,1.05
13.31480895,1.04
13.31791767,1.03
13.31999014,1.2
13.32309886,0.92
13.32620758,0.97
13.32828005,0.85
13.33138877,0.64
13.33449748,0.79
13.3376062,1.01
13.34071492,1.13
13.34382363,1.1
13.34693235,1.02
13.35,1.01
