AgeD17MT,benthic d13C
4.47887,0.72
4.48439,0.84
4.4899,0.81
4.49541,0.75
4.50092,0.76
4.50644,0.4
4.51195,0.61
4.51746,0.73
4.52297,0.48
4.52849,0.73
4.534,0.41
4.53951,0.62
4.54502,0.74
4.56156,0.69
4.56708,0.84
4.57259,0.63
4.5781,0.61
4.58499,0.61
4.5905,0.54
4.59602,0.71
4.60153,0.61
4.60704,0.63
4.61255,0.69
4.61807,0.64
4.62358,0.54
4.62909,0.66
4.6346,0.78
4.64287,0.47
4.64839,0.62
4.6539,0.52
4.65941,0.55
4.66492,0.51
4.67044,0.5
4.67595,0.42
4.68146,0.44
4.68698,0.46
4.69249,0.56
4.698,0.39
4.7014,0.62
4.7048,0.64
4.7082,0.92
4.71161,0.64
4.71501,0.63
4.71841,0.57
4.72181,0.54
4.72521,0.29
4.72657,0.33
4.72827,0.46
4.73168,0.74
4.73508,0.75
4.73848,0.86
4.74188,0.86
4.74528,0.43
4.75208,0.73
4.75379,0.72
4.75549,0.77
4.75889,0.66
4.76059,0.34
4.76569,0.3
4.76909,0.26
4.77249,0.54
4.7759,0.77
4.7793,0.67
4.7827,0.87
4.78916,0.87
4.79256,0.8
4.79597,0.56
4.79937,0.68
4.80277,0.78
4.80617,0.65
4.80957,0.76
4.81297,0.58
4.81637,0.84
4.81978,0.84
4.82318,0.81
4.82658,0.67
4.82998,0.79
4.83338,0.48
4.83678,0.54
4.84019,0.54
4.84359,0.62
4.84699,0.8
4.85039,1.03
4.85379,0.9
4.85719,0.88
4.8606,0.98
4.864,0.93
4.8674,0.79
4.8708,0.82
4.8742,0.71
4.8776,0.73
4.88441,0.37
4.88781,0.29
4.89121,0.48
4.89461,-0.06
4.89801,0.19
4.90141,0.5
4.90482,0.5
4.90822,0.7
4.91162,0.69
4.914,0.73
4.91534,0.78
4.91869,0.8
4.92204,0.77
4.92539,0.79
4.92874,0.85
4.93208,0.71
4.93543,0.43
4.93878,0.58
4.94213,0.55
4.94548,0.59
4.94883,0.37
4.95218,0.5
4.95553,0.69
4.95553,0.59
4.95854,0.66
4.96189,0.55
4.96524,0.53
4.96859,0.21
4.97194,0.42
4.97528,0.7
4.97863,0.84
4.98198,0.83
4.98533,0.97
4.99035,0.87
4.9937,1.11
4.99705,0.87
5.0004,0.76
5.00375,0.63
5.0071,0.7
