Depth [m],Age [ka BP],Foram bent δ13C [‰ PDB],Foram bent δ18O [‰ PDB]
71.53,15940,1.64,1.6
71.59,15959,1.58,1.8
71.69,15992,1.36,1.71
71.74,16002,1.66,1.69
71.79,16012,1.35,1.62
71.84,16022,1.5,1.66
71.99,16052,1.78,1.89
72.14,16083,1.22,1.4
72.19,16088,1.75,1.44
72.24,16093,1.36,1.39
72.29,16098,1.59,1.38
72.34,16103,1.54,1.53
72.39,16109,1.65,1.45
72.44,16114,1.52,1.87
72.49,16119,1.88,1.47
72.54,16124,1.78,1.5
72.59,16129,1.92,1.6
72.69,16140,1.65,1.81
72.73,16144,2.03,1.88
72.79,16150,1.44,1.39
72.99,16171,0.98,1.82
73.04,16179,1.62,1.37
73.09,16187,1.22,1.66
73.14,16195,1.4,1.47
73.19,16204,1.45,1.5
73.24,16212,1.52,1.52
73.29,16220,1.23,1.57
73.34,16229,1.39,1.57
73.44,16245,1.28,1.45
73.49,16254,1.13,1.46
73.55,16264,1.18,1.48
73.59,16270,1.15,0.89
73.64,16278,1.73,1.63
73.69,16287,1.4,1
73.74,16295,1.49,1.12
73.79,16303,1.06,1.23
73.84,16312,1.23,1.25
73.89,16320,1.43,1.18
73.94,16328,0.98,1.02
73.99,16337,1.17,1.09
74.04,16345,1.3,1.45
74.09,16353,1.36,1.3
74.14,16361,1.48,1.74
74.19,16370,1.33,1.3
74.24,16378,1.48,1.58
74.29,16386,1.49,1.34
74.34,16395,1.27,1.1
74.39,16403,1.13,1.61
74.44,16411,1.25,1.13
74.49,16420,1.58,1.24
74.54,16428,1.58,1.53
74.59,16436,1.46,1.27
74.64,16444,0.76,1.01
74.75,16463,1.59,1.24
74.8,16472,1.53,0.93
74.84,16479,1.68,1.83
74.89,16488,1.62,1.42
74.94,16496,1.53,1.19
74.99,16505,1.26,1.48
75.04,16514,1.46,1.38
75.09,16522,1.25,1.5
75.14,16531,1.32,1.71
75.19,16540,1.44,1.62
75.24,16548,1.61,1.71
75.29,16557,1.36,1.51
75.39,16574,1.32,1.48
75.49,16592,1.43,1.31
75.74,16635,1.56,1.75
75.79,16643,0.8,1.16
75.84,16652,0.93,1.27
75.89,16661,1.02,1.41
75.94,16669,1.13,1.8
75.99,16678,1.24,1.62
76.09,16695,1.2,1.51
76.19,16713,1.1,1.75
76.24,16721,0.79,1.03
76.29,16730,0.9,1.38
76.34,16739,1.01,1.13
76.39,16747,1.17,1.28
76.44,16756,1.07,1.51
76.49,16765,1.18,1.54
76.54,16773,1.48,1.72
76.59,16782,1.22,1.62
77.14,16877,1.26,1.62
77.19,16882,1.45,1.87
77.24,16888,1.26,1.9
77.29,16893,1.22,1.89
77.34,16899,1.16,1.72
77.39,16904,1.05,1.55
77.44,16910,1.19,1.65
77.49,16915,1.41,1.81
77.54,16920,1.16,1.76
77.59,16926,1.12,1.73
77.64,16931,1.2,1.83
77.69,16937,1.02,1.67
77.74,16942,1.12,1.74
77.79,16947,1.27,1.83
77.84,16953,1.13,1.57
77.89,16958,1.21,1.78
77.94,16964,1.14,1.9
77.99,16969,0.94,1.52
78.04,16975,0.97,1.55
78.09,16980,1.31,1.97
78.14,16985,1.13,1.88
78.19,16991,1.22,1.83
78.24,16996,1.02,1.71
78.29,17002,1.16,1.53
78.34,17007,1.14,1.48
78.39,17013,1.25,1.7
78.44,17019,1.12,1.8
78.49,17025,1.17,1.69
78.54,17031,0.98,1.96
78.59,17037,1.27,1.77
78.64,17043,1.18,1.84
78.69,17049,1.1,1.72
78.74,17055,1.13,1.71
78.79,17061,1.16,1.82
78.84,17067,0.98,1.52
78.89,17073,1.07,1.66
78.94,17079,0.96,1.73
78.99,17085,1.02,1.57
79.04,17091,1.29,1.81
79.09,17097,1.15,1.76
79.14,17103,1.36,1.81
79.19,17109,1.03,1.93
79.24,17115,1.22,1.68
79.34,17127,1.16,1.95
79.39,17133,1.22,2.03
79.44,17139,1.17,1.94
79.49,17145,1.15,1.76
79.54,17151,1.07,1.69
79.59,17157,1.22,1.88
79.64,17163,1.01,1.73
79.69,17169,1.04,1.78
79.74,17175,1.11,1.81
79.79,17181,0.99,1.7
79.84,17187,0.98,1.42
79.89,17193,1.11,1.74
79.94,17199,0.93,1.81
79.99,17205,1.25,1.98
80.04,17211,1.13,1.79
80.09,17217,1.14,1.83
80.14,17223,1.06,1.89
80.19,17229,1.39,2.34
80.24,17234,1.29,2.02
80.29,17240,1.1,2
80.34,17245,1.35,2.03
80.39,17251,1.16,1.89
80.44,17256,1.21,1.89
80.49,17261,1.16,2
80.54,17267,1.23,1.98
80.59,17272,1.3,1.91
80.64,17278,1.11,1.71
80.69,17283,1.33,2.41
80.74,17288,1.06,1.54
80.79,17294,1.16,1.89
80.84,17299,1.09,1.72
80.89,17305,0.91,1.51
80.94,17310,0.85,1.77
80.99,17316,1.18,1.89
81.04,17321,1.06,1.8
81.09,17326,0.97,1.5
81.14,17332,1.05,1.69
81.19,17337,0.89,1.23
81.24,17343,0.91,1.52
81.29,17348,0.85,1.44
81.34,17353,1.14,2.22
81.39,17363,0.8,1.82
81.44,17373,1.22,1.85
81.59,17403,1.48,2.01
81.64,17413,1.15,2.04
81.69,17423,1.01,1.87
81.74,17433,1.08,1.86
81.79,17443,0.95,1.52
81.84,17453,0.83,1.49
81.89,17460,0.64,1.58
82.09,17486,1.06,2.18
82.14,17493,0.73,1.6
82.19,17499,0.98,1.87
82.24,17506,0.94,2.02
82.29,17512,1.05,1.85
82.34,17519,0.85,1.91
82.39,17525,0.83,1.66
82.44,17532,0.79,1.81
82.49,17538,0.77,1.77
82.54,17545,0.78,1.51
82.59,17550,0.97,1.65
82.64,17554,0.64,1.53
82.69,17558,0.66,1.71
82.72,17561,0.76,1.42
82.79,17567,0.62,1.29
82.84,17571,0.72,1.47
82.89,17575,0.66,1.28
82.94,17579,0.89,2.18
82.97,17582,1.04,2.09
82.98,17583,0.84,0.98
83.03,17597,0.79,1.61
83.08,17612,0.98,1.9
83.13,17626,0.98,1.77
83.18,17641,1.22,2.01
83.24,17658,0.7,1.2
83.28,17664,0.92,1.52
83.33,17672,0.93,1.62
83.38,17680,1.11,2.06
83.43,17688,0.87,1.62
83.48,17696,0.95,1.84
83.53,17704,0.88,1.57
83.58,17712,1.07,2.3
83.63,17720,0.74,1.57
83.68,17728,0.98,1.86
83.74,17737,0.88,1.89
83.78,17744,0.86,1.63
83.83,17752,0.89,1.64
83.88,17760,0.94,1.75
83.93,17767,1,1.91
83.98,17775,0.79,1.39
84.03,17783,1.19,2.27
84.08,17790,1.04,2
84.13,17797,1,1.74
84.18,17805,0.93,1.79
84.23,17812,0.81,1.77
84.28,17819,1,1.8
84.33,17827,1.02,1.57
84.38,17833,0.93,1.69
84.43,17839,1.04,1.86
84.48,17845,1.13,2.06
84.53,17852,0.96,2.06
84.58,17858,0.77,1.86
84.63,17864,0.73,1.59
84.68,17871,1.06,2.2
84.73,17877,0.9,1.79
84.78,17884,0.88,1.96
84.83,17891,1.05,1.77
84.88,17897,0.89,1.98
84.93,17904,0.72,1.71
84.98,17911,0.79,1.87
85.03,17917,0.71,1.62
85.08,17924,0.79,1.91
85.13,17931,0.82,1.47
85.18,17937,0.7,1.59
85.23,17944,0.49,1.44
85.28,17948,0.58,1.47
85.33,17952,0.6,1.74
85.38,17957,0.73,1.54
85.43,17961,0.66,1.65
85.48,17965,0.76,1.66
85.53,17970,0.77,1.6
85.58,17974,0.89,1.88
85.63,17978,0.62,1.47
85.68,17982,0.67,1.86
85.73,17987,1.04,1.83
85.78,17991,0.62,1.93
85.83,17995,0.97,1.71
85.88,18000,1,1.97
85.93,18005,0.8,1.56
85.98,18011,0.82,1.7
86.03,18017,0.62,1.66
86.08,18023,0.5,1.82
86.13,18029,0.57,1.63
86.16,18033,0.6,1.63
86.18,18035,0.72,1.53
86.24,18042,0.67,1.96
86.27,18046,0.74,2
86.29,18048,0.52,1.78
86.33,18053,0.49,1.73
86.38,18059,0.47,1.75
86.43,18065,0.42,1.64
86.54,18078,0.42,1.47
86.59,18084,0.45,1.55
86.63,18089,0.41,1.42
86.68,18095,0.47,1.55
86.74,18102,0.56,1.64
86.79,18108,0.86,1.89
86.84,18114,0.99,1.62
86.89,18120,1.03,1.72
86.93,18124,0.93,2.1
86.98,18129,0.84,1.87
87.04,18135,0.9,1.68
87.09,18140,0.94,2.06
87.13,18144,0.74,1.86
87.18,18149,0.94,2.11
87.24,18155,0.77,1.77
87.29,18160,0.86,1.8
87.34,18165,0.94,1.55
87.39,18170,0.73,1.58
87.43,18174,0.66,1.55
87.48,18179,0.82,1.7
87.54,18185,0.75,1.59
87.59,18190,0.48,1.48
87.63,18194,0.78,1.56
87.68,18199,0.57,1.74
87.74,18205,0.9,1.55
87.79,18210,0.86,1.71
87.84,18215,0.75,1.62
87.89,18220,0.73,1.47
87.93,18224,0.65,1.69
87.98,18227,0.67,1.34
88.04,18231,0.94,1.75
88.09,18234,0.95,1.74
88.13,18237,1.04,1.5
88.18,18240,1.09,1.87
88.24,18243,1.01,1.48
88.3,18247,0.73,1.55
88.35,18250,0.98,1.72
88.4,18253,1.2,2.19
88.44,18256,0.81,1.75
88.49,18259,0.95,2
88.55,18262,0.79,1.66
88.6,18265,0.59,1.93
88.64,18272,1.03,1.8
88.69,18280,0.83,1.86
88.75,18289,0.79,1.69
88.8,18297,0.8,1.83
88.85,18305,0.73,1.59
88.9,18313,0.56,1.63
88.94,18319,0.52,1.61
88.99,18327,1.02,1.94
89.05,18332,0.69,1.88
89.1,18336,0.6,1.63
89.14,18339,0.69,1.61
89.19,18343,0.71,1.67
89.25,18348,0.64,1.61
89.3,18352,0.83,1.62
89.35,18356,0.8,2.05
89.4,18361,0.74,2.12
89.44,18364,0.76,1.71
89.49,18368,0.91,1.97
89.55,18372,0.71,1.89
89.6,18375,0.81,1.74
89.64,18378,0.8,1.74
89.68,18381,0.67,1.9
89.74,18385,0.72,1.86
89.79,18388,0.65,1.41
89.84,18392,0.88,1.79
89.89,18395,0.63,1.86
89.93,18398,0.58,1.82
89.98,18401,0.71,2
90.04,18405,0.61,1.63
90.13,18411,0.7,1.62
90.24,18419,0.59,1.45
90.29,18422,0.95,1.76
90.34,18426,0.65,1.62
90.39,18429,0.44,1.58
90.43,18432,0.38,1.66
90.48,18435,0.43,1.65
90.54,18438,0.8,1.81
90.59,18441,1.1,2.16
90.64,18444,1.03,1.98
90.69,18447,1.01,1.85
90.74,18450,0.91,1.9
90.84,18456,0.63,1.86
90.88,18464,0.91,1.8
90.93,18473,1.22,1.78
90.98,18483,0.96,1.87
91.03,18492,1.23,1.75
91.13,18502,1,1.58
91.18,18507,0.89,1.8
91.24,18512,0.64,1.83
91.34,18520,0.91,1.83
91.39,18524,0.83,1.93
91.43,18527,0.88,1.75
91.48,18531,0.86,1.65
91.54,18536,0.85,1.65
91.59,18540,1.05,1.73
91.63,18543,0.7,1.67
91.68,18547,0.59,1.81
91.74,18552,0.58,1.67
91.79,18559,1.07,1.91
91.84,18565,0.9,2.02
91.89,18571,1.19,2.09
91.93,18576,0.84,1.69
91.98,18582,0.82,1.84
92.04,18589,1.02,1.85
92.09,18595,0.6,1.99
92.13,18599,0.96,1.86
92.18,18603,0.92,1.96
92.24,18609,0.86,1.86
92.29,18613,0.81,2.07
92.35,18619,1.13,1.82
92.39,18622,0.93,1.74
92.43,18626,0.63,1.74
92.48,18630,0.69,1.66
92.5,18632,0.86,1.73
92.53,18635,0.64,1.77
92.58,18639,0.76,1.78
92.63,18644,0.62,1.53
92.68,18649,0.76,1.66
92.73,18653,0.49,1.96
92.83,18662,0.85,1.92
92.88,18667,0.58,1.6
92.93,18671,0.57,1.49
92.98,18676,1.09,1.96
93.03,18680,0.83,1.88
93.08,18685,1.14,1.95
93.13,18689,0.96,2.01
93.18,18694,0.83,1.61
93.24,18699,0.93,1.99
93.28,18703,0.8,1.6
93.33,18708,0.78,1.93
93.38,18712,0.62,1.1
93.43,18715,0.96,1.59
93.48,18718,0.97,1.77
93.53,18720,1.19,1.6
93.58,18723,0.75,1.65
93.63,18726,0.8,1.38
93.68,18729,1.09,1.82
93.74,18732,0.93,1.6
93.78,18734,1.18,1.96
93.83,18737,0.82,1.6
93.93,18743,0.7,1.38
93.98,18745,0.77,1.2
94.03,18748,0.99,1.6
94.08,18751,0.59,1.41
94.13,18755,0.64,1.66
94.18,18758,0.82,1.53
94.23,18762,1.28,1.98
94.28,18765,0.81,1.72
94.33,18769,1.15,1.98
94.38,18772,1.03,1.87
94.43,18776,0.84,1.82
94.48,18780,0.75,1.86
94.53,18783,0.64,1.87
94.63,18790,0.84,1.76
94.68,18794,0.79,1.71
94.73,18797,0.74,1.94
94.78,18801,0.81,2.01
94.83,18804,1.23,2.05
94.88,18808,1.16,1.87
94.93,18812,1.27,1.91
94.98,18815,0.88,1.81
95.03,18819,0.75,1.7
95.08,18822,0.87,1.93
95.13,18826,0.63,1.62
95.18,18829,0.59,1.47
95.23,18833,0.81,1.79
95.28,18836,1.02,2.18
95.33,18840,1.02,1.98
95.38,18843,0.68,1.68
95.43,18846,0.7,1.88
95.48,18850,0.78,1.85
95.53,18853,0.62,1.83
95.63,18860,0.54,1.83
95.68,18864,0.76,1.74
95.74,18868,0.59,1.56
95.78,18870,1,1.88
95.83,18881,0.88,1.59
