rmcd (2),Age (Ma) (manual) (3),d13Cvpdb,d18Ovpdb,
61.89,18.952,1.098,1.779,
62.89,19.085,0.988,1.919,
63.39,19.151,1.140,1.540,
63.89,19.217,1.101,1.671,
64.39,19.284,1.028,1.581,
64.89,19.350,0.917,1.499,
64.97,19.361,1.120,1.860,
65.44,19.423,0.930,1.740,
65.91,19.486,1.092,1.784,
66.51,19.566,1.100,2.009,
66.51,19.566,0.818,1.768,
67.01,19.616,0.750,1.770,
67.51,19.651,0.813,1.733,
68.01,19.716,0.660,1.990,
70.01,20.175,0.820,1.990,
70.51,20.273,0.813,1.451,
71.01,20.357,0.840,1.670,
71.52,20.436,0.821,1.568,
71.54,20.439,0.854,1.906,
72.06,20.508,0.948,2.385,
73.04,20.636,1.054,2.364,
73.54,20.708,0.820,1.760,
74.04,20.797,0.587,1.936,
74.54,20.864,0.890,1.431,
74.91,20.909,1.101,2.479,
75.04,20.925,1.156,1.979,
75.41,20.970,0.990,1.950,
75.54,20.986,0.890,1.870,
75.91,21.031,1.120,1.870,
76.41,21.089,1.060,1.710,
76.50,21.096,1.083,1.722,
77.41,21.173,0.865,1.837,
77.91,21.216,0.500,1.590,
78.41,21.260,0.826,1.885,
78.91,21.304,0.872,2.029,
79.41,21.348,1.048,1.594,
79.91,21.392,1.230,1.940,
80.42,21.438,1.099,1.773,
81.74,21.554,0.618,1.023,
81.77,21.557,0.522,1.261,
81.84,21.563,0.658,1.167,
81.89,21.567,0.652,1.453,
81.94,21.572,0.701,1.363,
81.99,21.576,1.029,1.257,
82.04,21.581,0.497,1.251,
82.09,21.585,0.645,1.291,
82.14,21.589,0.289,0.827,
82.19,21.594,0.930,1.475,
82.24,21.598,0.769,1.260,
82.27,21.601,0.740,0.970,
82.29,21.603,0.833,1.250,
82.34,21.607,0.208,1.921,
82.39,21.611,0.339,0.757,
82.44,21.616,0.482,1.168,
82.49,21.620,0.780,1.698,
82.59,21.629,0.357,0.656,
82.64,21.633,0.662,2.239,
82.69,21.638,1.304,1.836,
82.74,21.642,0.832,1.715,
82.77,21.645,1.360,1.420,
82.77,21.645,1.360,1.420,
82.79,21.647,0.814,1.203,
82.84,21.651,0.644,1.321,
82.89,21.656,1.023,1.427,
82.94,21.660,1.116,1.375,
82.99,21.664,0.996,1.297,
83.04,21.669,1.018,1.479,
83.09,21.673,1.113,1.690,
83.16,21.679,0.668,1.474,
83.19,21.682,0.490,1.472,
83.24,21.686,0.883,1.485,
83.27,21.689,0.630,1.370,
83.29,21.691,0.708,1.108,
83.34,21.695,0.611,1.390,
83.39,21.700,0.901,1.472,
83.44,21.704,0.810,1.245,
83.49,21.709,0.996,1.597,
83.54,21.713,0.333,1.589,
83.58,21.717,1.035,1.638,
83.64,21.722,0.806,1.416,
83.69,21.726,0.850,1.243,
83.74,21.731,0.652,0.973,
83.79,21.735,1.564,2.026,
83.84,21.739,1.043,1.147,
83.89,21.744,0.881,1.413,
83.94,21.749,0.862,1.174,
83.99,21.753,0.692,1.389,
84.04,21.758,0.877,1.439,
84.09,21.763,1.120,1.454,
84.14,21.767,0.870,1.106,
84.19,21.772,1.217,1.659,
84.24,21.777,0.928,1.132,
84.27,21.779,1.100,1.450,
84.29,21.781,1.282,1.365,
84.34,21.786,1.222,1.849,
84.39,21.791,1.191,1.290,
84.44,21.797,1.145,1.436,
84.49,21.802,1.500,1.451,
84.54,21.807,1.231,1.237,
84.59,21.813,1.384,1.664,
84.64,21.818,1.343,1.343,
84.69,21.823,1.135,1.520,
84.74,21.828,1.365,1.387,
84.77,21.831,1.130,1.460,
84.84,21.839,1.232,1.571,
84.94,21.849,0.945,1.277,
84.99,21.855,1.200,1.397,
85.24,21.883,1.105,1.351,
85.27,21.886,1.330,1.560,
85.34,21.894,1.414,1.968,
85.44,21.906,1.150,1.484,
85.54,21.917,1.290,1.687,
85.64,21.929,1.330,1.714,
85.74,21.940,1.347,1.810,
85.77,21.944,0.920,1.470,
85.84,21.952,1.254,1.809,
85.94,21.963,1.480,1.843,
86.04,21.975,1.438,1.559,
86.14,21.986,1.171,1.922,
86.44,22.021,1.244,1.547,
86.54,22.033,1.200,1.651,
86.64,22.045,1.234,1.357,
86.74,22.056,1.161,1.660,
86.84,22.068,1.412,1.585,
