depth_m,age_calkaBP,d13Cc.wuell,d18Oc.wuell-cor64
0.02,0,1.14,3.39
0.045,2.3,1.14,3.45
0.07,4.6,0.97,3.3
0.095,6.9,0.76,3.89
0.12,9.2,0.63,4.34
0.145,11.5,0.71,4.41
0.17,14.3,0.74,4.4
0.195,18.1,0.64,4.09
0.22,21.9,0.69,4.73
0.245,25.7,0.53,4.59
0.27,29.4,0.58,4.42
0.295,33.2,0.5,4.54
0.315,36.3,0.61,4.5
0.35,41.6,0.83,4.41
0.37,44.6,0.49,4.61
0.395,48.4,0.39,4.11
0.42,52.2,0.56,4.62
0.445,56,0.62,4.51
0.47,59.8,0.81,4.24
0.495,63.6,0.58,4.36
0.52,67.4,0.6,4.25
0.545,71.2,0.29,4.59
0.57,75,0.79,4.07
0.595,82.1,0.6,4.42
0.62,89.2,0.31,4.26
0.645,96.3,0.39,4.11
0.67,102.2,0.51,4.17
0.695,106,0.9,4.36
0.72,109.7,0.67,4.22
0.745,113.4,0.57,5
0.795,120.8,0.86,4.04
0.82,124.6,0.23,3.96
0.845,128.3,0.61,4.21
0.87,132,0.2,4.69
0.895,137.5,0.21,5.09
0.92,143,-0.01,4.73
0.945,148.5,0.2,4.18
0.97,154,0.34,4.25
0.995,159.5,-0.13,4.37
1.02,165,0.24,4.52
1.045,170.5,0.14,4.69
1.07,176,0.33,4.37
1.095,181.5,0.05,4.49
1.12,187,0.38,4.16
1.145,192.5,0.77,3.63
1.17,198,0.48,3.73
1.195,203.5,0.61,3.78
1.22,209,0.36,3.69
1.245,214.5,0.48,4.36
1.27,220,0.78,3.58
1.295,229.4,0.5,4.17
1.32,238.7,0.38,3.38
1.345,247.1,0.49,4.48
1.37,252,-0.09,4.92
1.395,257,0.63,4.28
1.42,261.9,0.11,4.45
1.445,266.9,0.56,4.4
1.47,271.8,0.47,4.11
1.495,276.8,0.27,4.08
1.52,281.7,0.51,4.44
1.545,287.2,1.06,4.18
1.57,293.7,0.57,3.94
1.595,300.2,0.76,4.03
1.62,306.6,0.94,3.93
1.645,313.1,0.74,4.24
1.67,319.6,0.79,3.73
1.695,326.1,0.71,4.13
1.72,332.5,0.8,3.86
1.745,338,0.44,4.43
1.77,342.2,0.33,4.48
1.795,346.4,0.54,4.23
1.845,354.9,0.63,4.61
1.87,359.2,0.32,4.59
1.895,363.4,0.17,4.35
1.92,367.6,0.52,4.43
1.945,371.9,0.14,4.18
1.97,376.1,0.81,4.3
1.995,380.4,1.12,4.12
2.02,384.6,0.83,4.05
2.045,388.8,0.78,3.94
2.07,393.1,0.66,4.32
2.095,397.3,0.67,4.2
2.12,401.5,0.87,3.44
2.145,405.8,0.91,3.61
2.195,414.3,0.82,4.1
2.22,418.5,0.7,3.86
2.245,422.7,0.79,3.74
2.27,426.1,0.74,4.41
2.32,430.7,0.17,4.87
2.345,433,0.37,4.42
2.37,435.3,0.65,4.37
2.395,437.6,0.85,4.4
2.42,439.9,0.66,4.14
2.445,442.2,0.73,4.87
2.47,444.5,0.02,4.85
2.495,446.8,0.3,5
2.52,449.1,0.24,5.11
2.545,451.4,0.83,4.27
2.57,457.7,0.58,4.88
2.595,464,0.52,4.38
2.62,470.3,0.64,4.09
2.645,476.6,0.83,4.33
2.67,483,1.07,4.05
2.695,489.3,0.79,4.15
2.72,495.6,1.33,3.78
2.745,501.9,1.19,3.73
2.77,508.2,0.84,4.33
2.795,513.2,0.78,4.67
2.82,516.3,1.12,4.1
2.845,519.5,0.8,4
2.87,522.6,0.85,4.17
2.895,525.7,1.11,3.91
2.92,528.8,0.93,4.5
2.945,531.9,0.93,4.25
2.97,535,0.78,4.49
2.995,538.1,0.82,4.36
3.02,541.2,0.76,4.24
3.045,545,0.4,4.52
3.07,554.9,0.62,4.33
3.095,564.8,0.32,3.15
3.12,574.7,0.78,4.91
3.145,584.6,0.71,4.68
3.17,594.5,0.91,4.24
3.195,600.9,0.51,4.36
3.22,606.6,0.67,4.11
3.245,612.4,0.12,3.82
3.27,618.1,0.2,4.87
3.295,623.9,0.58,4.29
3.31,627.4,0.32,4.86
3.345,635.4,0.45,4.4
3.37,641.2,0.46,4.69
3.42,652.7,0.5,4.79
3.445,658.4,0.35,4.47
3.47,664.2,0.39,4.55
3.495,669.9,0.65,4.23
3.52,675.7,0.32,4.72
3.545,681.5,0.21,4.13
3.57,687.2,0.78,4.23
3.595,693,0.9,4.36
3.62,698.7,0.62,3.98
3.645,704.5,0.68,4.12
3.67,710.2,0.7,4.01
3.695,716,0.78,4.21
3.72,724,0.47,4.25
3.745,732,0.33,4.24
3.77,740,0.56,4.35
3.82,752.1,0.55,4.18
3.845,757,0.34,4.19
3.87,761.9,0.45,4.42
3.895,766.7,0.53,4.4
3.92,771.6,0.61,4.07
3.945,776.5,0.6,4.2
3.955,778.5,0.7,4.46
3.98,783.3,0.34,4.26
4.005,788.2,0.55,3.83
4.03,793.1,0.56,4.21
4.055,798,0.38,4.77
4.08,803.6,0.49,4.48
4.105,809.3,0.39,4.53
4.13,814.9,0.66,4.4
4.155,820.5,0.45,4.03
4.18,826.1,0.49,4.56
4.205,831.8,0.37,4.34
4.23,837.4,0.74,4.15
4.255,843,0.7,4.21
4.28,848.6,0.62,4.09
4.305,854.3,0.58,4.26
4.33,859.9,0.56,4.35
4.355,865.5,0.37,4.34
4.38,870.5,0.14,4.73
4.405,874.9,-0.16,4.81
4.43,879.3,0.49,4.26
4.455,883.8,0.51,4.59
4.48,888.2,0.55,4.13
4.505,892.6,0.43,4.56
4.53,897.1,0.37,4.52
4.555,901.5,0.44,4.57
4.58,906,0.4,4.41
4.605,910.4,0.66,4.41
4.63,914.8,0.65,4.32
4.655,919.7,0.35,4.42
4.68,924.7,0.56,4.38
4.705,929.6,0.57,4.19
4.73,934.6,0.73,4.08
4.755,939.5,0.7,4.04
4.78,944.5,0.65,3.68
4.83,954.4,0.6,4.32
4.855,959.4,0.64,4.11
4.88,964.4,0.87,4.34
4.905,969.3,0.77,4.44
4.93,974.3,0.62,4.12
4.955,979.3,0.61,4.13
4.98,984.2,0.81,4.12
5.005,989.2,0.79,4.28
5.03,994.2,0.52,3.64
5.055,999.1,0.72,4.05
5.08,1004.1,0.61,4.3
5.105,1009,0.81,3.97
5.13,1014,0.84,4.09
5.155,1019,0.79,4.35
5.18,1023.9,0.74,4
5.205,1028.9,0.91,4.06
5.23,1033.5,0.62,4.4
5.255,1037.4,0.78,4.23
5.28,1041.3,0.67,4.31
5.305,1045.2,0.5,4.29
5.33,1049.1,0.54,4.37
5.355,1053,0.67,4.2
5.38,1056.9,0.61,4.11
5.405,1060.8,0.75,4.4
5.43,1064.7,0.86,3.49
5.455,1068.6,0.7,3.98
5.48,1072.2,0.85,3.57
5.505,1075.8,0.6,4.27
5.53,1079.3,0.85,3.89
5.555,1082.9,0.41,4.34
5.58,1086.5,0.94,3.88
5.605,1090.1,0.84,4.11
5.63,1093.6,0.73,4.21
5.655,1097.2,0.68,4.28
5.68,1100.8,0.71,4.26
5.705,1104.4,0.83,4.3
5.73,1107.9,0.29,4.14
5.755,1111.5,0.63,4.48
5.78,1115.1,0.66,4.4
5.805,1118.6,0.42,4.38
5.83,1122.2,0.53,4.63
5.88,1131,0.67,4.09
5.905,1135.7,0.95,4.13
5.93,1140.4,0.76,4.13
5.955,1145.1,1.05,3.73
5.98,1149.8,0.92,4.06
6.005,1154.5,0.99,3.99
6.03,1159.2,0.96,3.67
6.055,1163.9,0.78,4.19
6.08,1168.6,1.02,3.94
6.105,1173.2,0.9,3.86
6.13,1177.9,0.71,4.17
6.155,1182.6,0.63,3.83
6.18,1187.3,0.36,3.94
6.205,1192,0.17,4.22
6.23,1195.7,0.84,3.96
6.255,1199.4,0.53,4.39
6.28,1203.1,0.68,4.2
6.33,1210.5,0.73,4.42
6.355,1214.1,0.65,3.96
6.38,1217.8,0.7,4.01
6.405,1221.5,0.8,3.86
6.43,1225.2,0.93,3.82
6.455,1228.9,0.87,3.52
6.48,1232.6,0.72,4.39
6.505,1236.3,0.71,4.66
6.53,1240,0.87,4.31
6.555,1243.7,0.9,3.85
6.58,1247.4,0.89,3.97
6.605,1251,0.55,4.53
6.63,1255.3,0.61,4.54
6.655,1259.5,0.53,3.82
6.68,1263.7,0.67,4.11
6.705,1267.9,0.67,4.14
6.73,1272.1,0.72,3.97
6.755,1276.3,0.87,4.12
6.78,1280.5,0.85,3.89
6.805,1284.7,0.68,4.53
6.83,1288.9,0.7,4.43
6.855,1293.2,0.54,4.42
6.88,1297.4,0.92,4.27
6.905,1301.6,0.76,4.32
6.93,1304.7,0.9,3.84
6.955,1307.9,0.86,3.89
6.98,1311.1,0.64,4.25
7.005,1314.2,0.88,3.87
7.03,1317.4,0.28,4.48
7.055,1320.5,0.43,4.16
7.08,1323.7,0.83,4.02
7.105,1326.8,0.59,3.91
7.13,1330,0.55,4.32
7.155,1333.2,0.56,3.9
7.18,1336.3,0.48,4.27
7.205,1339.5,0.39,4.24
7.23,1342.6,0.62,3.87
7.255,1345.8,0.62,4.16
7.28,1349,1,3.6
7.305,1352.1,0.9,3.82
7.33,1355.3,1.07,3.94
7.355,1358.4,0.72,3.81
7.38,1361.6,0.65,4.32
7.405,1364.7,0.92,3.67
7.43,1367.9,0.79,4.24
7.455,1371.1,0.87,4.18
7.48,1374.2,0.65,4.34
7.505,1377.4,0.46,4.42
7.53,1380.5,0.76,4.23
7.555,1383.7,1.08,3.85
7.58,1386.9,0.74,4.23
7.605,1390,0.73,4.28
7.63,1393.2,0.71,4.1
7.655,1396.3,0.43,4.07
7.68,1401.4,0.9,4.04
7.705,1406.5,0.91,4.64
7.73,1411.5,0.59,4.39
7.755,1416.6,0.69,4.5
7.78,1421.7,0.75,4.22
7.815,1428.8,0.44,4.22
7.83,1431.8,0.86,4.2
7.855,1436.9,0.77,4.31
7.88,1442,0.7,3.85
7.905,1447.1,0.87,3.7
7.93,1452.1,0.81,3.55
7.955,1457.2,1.21,4.9
7.98,1461.7,0.92,4.04
8.005,1466.1,0.57,3.94
8.03,1470.6,0.56,4.16
8.08,1479.4,0.88,4.37
8.105,1483.8,0.66,4.37
8.13,1488.2,0.91,4.12
8.155,1492.6,0.96,4.28
8.18,1497.1,0.63,4.26
8.205,1501.5,0.56,4.52
8.23,1505.9,0.83,4.41
8.255,1510.3,0.34,3.87
8.28,1514.7,0.9,4.33
8.305,1519.2,1.09,3.77
8.33,1523.6,0.82,4.29
8.355,1528,1.06,4.03
8.38,1532.2,0.89,3.88
8.405,1536.2,0.93,4.33
8.43,1540.3,1.24,3.95
8.455,1544.3,0.95,4.19
8.48,1548.3,0.9,4.1
8.505,1552.3,1.09,4.03
8.53,1556.4,0.9,4.16
8.555,1560.4,0.88,4.14
8.58,1564.4,1.01,4.14
8.605,1568.5,1.12,4.19
8.63,1572.5,0.85,4.4
8.655,1578,1.12,4.12
8.68,1583.5,1.01,4.03
8.705,1589,0.86,4.32
8.73,1594.6,0.78,4.43
8.755,1600.1,0.9,3.88
8.78,1605.3,1.1,3.99
8.805,1610.2,0.88,4.32
8.83,1615.2,1.2,3.98
8.855,1620.2,1,3.71
8.88,1625.1,0.92,4.01
8.905,1630.1,1.06,3.98
8.93,1635.1,1,4.07
8.955,1640,0.78,4.29
8.98,1645,0.79,4.25
9.005,1647.4,0.89,4.31
9.03,1649.8,0.88,4.55
9.055,1652.2,0.84,4.61
9.08,1654.6,0.81,4.64
9.105,1657,0.56,4.52
9.13,1659.4,1.06,3.91
9.155,1661.8,1.07,3.99
9.18,1664.2,0.76,4.12
9.205,1666.6,0.7,4.38
9.23,1669,1.15,3.72
9.28,1673.8,1.07,3.94
9.305,1676.1,0.93,3.78
9.33,1678.5,0.55,4.04
9.355,1680.9,0.92,3.75
9.38,1683.3,0.86,4.03
9.405,1685.7,0.84,3.87
9.43,1688.1,0.99,3.89
9.455,1690.5,1.06,3.93
9.48,1692.9,1.07,4
9.505,1695.3,0.95,4.36
9.53,1697.7,1.04,4.08
9.555,1700.1,0.9,4.41
9.58,1702.5,0.98,3.97
9.605,1706,0.88,3.89
9.63,1709.4,0.81,4.64
9.655,1712.9,0.74,4.19
9.68,1716.3,1.08,3.89
9.705,1719.8,1.02,3.9
9.73,1723.3,0.91,4.08
9.755,1726.7,0.92,3.84
9.78,1730.2,0.75,4.3
9.805,1733.7,0.82,4.01
9.83,1737.1,0.64,3.96
9.855,1740.6,0.52,4.25
9.88,1744,0.57,4.3
9.905,1747.5,0.45,4.15
9.93,1749.6,0.68,4.3
9.955,1751.6,0.65,4.1
9.98,1753.7,0.67,3.66
10.005,1755.8,0.75,3.8
10.03,1757.8,0.42,3.97
10.055,1759.9,1.14,3.77
10.08,1762,0.89,3.73
10.105,1764,0.83,3.72
10.13,1766.1,0.78,4
10.155,1768.2,0.89,3.92
10.18,1770.2,1.03,3.65
10.205,1772.3,0.97,3.97
10.23,1774.4,1.06,3.86
10.255,1776.4,0.99,3.87
10.28,1778.5,0.99,3.87
10.305,1780.6,0.94,3.9
10.38,1786.8,0.97,4
10.405,1788.9,0.88,4.04
10.48,1795.1,0.86,3.87
10.505,1797.1,0.82,4.1
10.53,1799.1,0.95,3.82
10.555,1801.2,0.97,3.8
10.58,1803.2,0.75,4.09
