Depth [mbsf],New_AgeModel,_13C [per mil PDB],_18O [per mil PDB],
298.84,8.22296252,0.94,1.8,
298.94,8.225379843,1.03,2.05,
299.14,8.23021449,0.87,2.02,
299.24,8.231826039,0.83,1.89,
299.34,8.234243363,0.84,2.08,
299.54,8.23907801,0.87,2.1,
299.74,8.243106882,1.15,2.13,
299.84,8.245524205,1.28,2.23,
299.94,8.247941529,1.09,2.14,
300.04,8.250358852,1.07,1.93,
300.14,8.251970401,1.06,2.02,
300.34,8.256805048,1.04,1.86,
300.44,8.259222371,1.02,2.14,
300.54,8.261639695,1.07,1.81,
300.64,8.263251244,1.1,2.02,
300.74,8.265668567,1.32,1.93,
300.84,8.268085891,1.43,2.03,
300.94,8.270503214,1.38,2.1,
301.04,8.272114763,1.36,2.05,
301.14,8.274532086,1.18,1.88,
301.24,8.27694941,1.3,1.93,
301.34,8.279366733,1.47,2.07,
301.44,8.281784057,1.09,1.93,
301.54,8.283395606,1.47,1.95,
301.64,8.285812929,1.17,1.98,
301.84,8.290647576,1.37,2.04,
301.94,8.293064899,1.27,2.35,
302.04,8.294676448,1.26,2.18,
302.24,8.299511095,1.27,2.18,
302.34,8.301928418,1.25,2.33,
302.44,8.304345742,1.25,2.03,
302.54,8.305957291,1.07,1.97,
302.64,8.308374614,1.4,2.13,
302.74,8.310791938,1.31,2.37,
302.84,8.313209261,1.23,2.01,
302.94,8.31482081,1.45,2.32,
303.04,8.318413546,1.29,2.06,
303.14,8.322398699,1.43,1.95,
303.24,8.326383852,1.5,1.86,
303.34,8.330369005,1.49,2.05,
303.44,8.333025773,1.47,1.84,
303.54,8.337010926,1.6,1.81,
303.64,8.340996079,1.6,1.85,
303.74,8.344981232,1.49,1.88,
303.84,8.348966385,1.41,1.81,
303.94,8.351623154,1.39,2.07,
304.04,8.355608307,1.35,1.82,
304.17,8.360849821,1.4,2.16,
304.24,8.362729335,1.33,1.97,
304.34,8.364608849,1.25,2.25,
304.44,8.36742812,1.13,1.97,
304.54,8.370247391,1.2,2.08,
304.64,8.373066661,1.24,1.97,
304.84,8.377765446,1.34,1.83,
304.94,8.380584717,1.52,1.85,
305.04,8.383403987,1.29,1.92,
305.14,8.386223258,1.38,1.86,
305.24,8.389042529,1.38,1.79,
305.34,8.390922043,1.37,1.84,
305.44,8.393741314,1.38,1.85,
305.54,8.396560584,1.36,1.92,
305.64,8.399379855,1.14,1.82,
305.74,8.401259369,1.39,1.98,
305.84,8.40407864,1.24,1.92,
305.94,8.406897911,1.26,2.06,
306.04,8.409717181,1.41,2.09,
306.14,8.412536452,1.17,1.95,
306.24,8.414415966,1.45,2.07,
306.34,8.417235237,1.05,2.02,
306.44,8.420054508,1.26,2.08,
306.54,8.422873778,1.27,1.98,
306.64,8.425693049,1.49,1.97,
306.74,8.427572563,1.55,2.04,
306.84,8.430391834,1.66,2.02,
306.94,8.433211104,1.58,1.94,
307.04,8.436030375,1.57,1.93,
307.14,8.437909889,1.72,1.83,
307.24,8.44072916,1.59,1.96,
307.34,8.443548431,1.32,2.01,
307.44,8.446367701,1.33,1.89,
307.54,8.449186972,1.49,2.08,
307.64,8.451066486,1.35,1.86,
307.74,8.453885757,1.47,2.07,
307.84,8.456705028,1.66,1.96,
307.94,8.459524298,1.78,2.04,
