Age [ka BP] (AgeD17MT (this study)),Foram bent δ13C [‰ PDB] (vs. VPDB),Foram bent δ18O [‰ PDB] (vs. VPDB),Foram bent δ13C [‰ PDB] (benthic d13C corrected to equ...),Foram bent δ18O [‰ PDB] (benthic d18O corrected to equ...),Reference,Species
5159.14,0.71,1.82,0.71,2.46,"Hodell et al., 2001",C.wuellerstorfi
5160.81,0.61,2.08,0.61,2.72,"Hodell et al., 2001",C.wuellerstorfi
5164.16,0.57,2.19,0.57,2.83,"Hodell et al., 2001",C.wuellerstorfi
5165.84,0.52,2.19,0.52,2.83,"Hodell et al., 2001",C.wuellerstorfi
5169.19,0.32,2.17,0.32,2.81,"Hodell et al., 2001",C.wuellerstorfi
5172.53,0.52,2.2,0.52,2.84,"Hodell et al., 2001",C.wuellerstorfi
5174.21,0.74,2.18,0.74,2.82,"Hodell et al., 2001",C.wuellerstorfi
5179.23,0.61,2,0.61,2.64,"Hodell et al., 2001",C.wuellerstorfi
5180.91,0.74,2.07,0.74,2.71,"Hodell et al., 2001",C.wuellerstorfi
5182.58,0.54,2.1,0.54,2.74,"Hodell et al., 2001",C.wuellerstorfi
5184.26,0.67,1.91,0.67,2.55,"Hodell et al., 2001",C.wuellerstorfi
5185.93,0.81,2.07,0.81,2.71,"Hodell et al., 2001",C.wuellerstorfi
5187.6,0.84,1.97,0.84,2.61,"Hodell et al., 2001",C.wuellerstorfi
5189.28,0.87,2.03,0.87,2.67,"Hodell et al., 2001",C.wuellerstorfi
5197.65,0.9,1.96,0.9,2.6,"Hodell et al., 2001",C.wuellerstorfi
5199.33,0.77,2.01,0.77,2.65,"Hodell et al., 2001",C.wuellerstorfi
5210.02,0.6,2.14,0.6,2.78,"Hodell et al., 2001",C.wuellerstorfi
5212.28,0.86,2.3,0.86,2.94,"Hodell et al., 2001",C.wuellerstorfi
5214.53,0.67,2.27,0.67,2.91,"Hodell et al., 2001",C.wuellerstorfi
5216.79,0.73,2.19,0.73,2.83,"Hodell et al., 2001",C.wuellerstorfi
5221.3,0.44,2.07,0.44,2.71,"Hodell et al., 2001",C.wuellerstorfi
5223.56,0.47,2.02,0.47,2.66,"Hodell et al., 2001",C.wuellerstorfi
5225.81,0.51,2.09,0.51,2.73,"Hodell et al., 2001",C.wuellerstorfi
5230.32,0.62,1.99,0.62,2.63,"Hodell et al., 2001",C.wuellerstorfi
5232.58,0.67,2.05,0.67,2.69,"Hodell et al., 2001",C.wuellerstorfi
5234.83,0.85,2.03,0.85,2.67,"Hodell et al., 2001",C.wuellerstorfi
5237.09,0.71,1.83,0.71,2.47,"Hodell et al., 2001",C.wuellerstorfi
5239.35,0.71,1.97,0.71,2.61,"Hodell et al., 2001",C.wuellerstorfi
5241.6,0.95,1.93,0.95,2.57,"Hodell et al., 2001",C.wuellerstorfi
5243.86,0.78,2.01,0.78,2.65,"Hodell et al., 2001",C.wuellerstorfi
5246.11,0.82,1.94,0.82,2.58,"Hodell et al., 2001",C.wuellerstorfi
5248.37,0.89,1.9,0.89,2.54,"Hodell et al., 2001",C.wuellerstorfi
5250.62,0.78,2.03,0.78,2.67,"Hodell et al., 2001",C.wuellerstorfi
5252.88,0.84,2.02,0.84,2.66,"Hodell et al., 2001",C.wuellerstorfi
5255.14,0.78,2,0.78,2.64,"Hodell et al., 2001",C.wuellerstorfi
5257.39,0.86,1.98,0.86,2.62,"Hodell et al., 2001",C.wuellerstorfi
5259.65,0.65,1.99,0.65,2.63,"Hodell et al., 2001",C.wuellerstorfi
5259.65,1.02,1.65,1.02,2.29,"Hodell et al., 2001",C.wuellerstorfi
5264.16,0.89,1.92,0.89,2.56,"Hodell et al., 2001",C.wuellerstorfi
5266.41,0.9,1.99,0.9,2.63,"Hodell et al., 2001",C.wuellerstorfi
5268.67,1,2.09,1,2.73,"Hodell et al., 2001",C.wuellerstorfi
5270.92,0.99,2.02,0.99,2.66,"Hodell et al., 2001",C.wuellerstorfi
5280.4,1.11,2.04,1.11,2.68,"Hodell et al., 2001",C.wuellerstorfi
5282.65,1,1.92,1,2.56,"Hodell et al., 2001",C.wuellerstorfi
5284.91,0.99,1.96,0.99,2.6,"Hodell et al., 2001",C.wuellerstorfi
5287.17,0.9,1.94,0.9,2.58,"Hodell et al., 2001",C.wuellerstorfi
5289.42,0.85,1.93,0.85,2.57,"Hodell et al., 2001",C.wuellerstorfi
5293.93,0.83,2,0.83,2.64,"Hodell et al., 2001",C.wuellerstorfi
5296.19,0.8,2,0.8,2.64,"Hodell et al., 2001",C.wuellerstorfi
5298.44,0.81,1.84,0.81,2.48,"Hodell et al., 2001",C.wuellerstorfi
5300.7,0.82,1.99,0.82,2.63,"Hodell et al., 2001",C.wuellerstorfi
5302.95,0.86,2.07,0.86,2.71,"Hodell et al., 2001",C.wuellerstorfi
5305.21,0.88,1.99,0.88,2.63,"Hodell et al., 2001",C.wuellerstorfi
5307.47,0.94,1.99,0.94,2.63,"Hodell et al., 2001",C.wuellerstorfi
5309.72,0.89,1.91,0.89,2.55,"Hodell et al., 2001",C.wuellerstorfi
5311.98,1.05,2.14,1.05,2.78,"Hodell et al., 2001",C.wuellerstorfi
