Ma,U1146 bent d13C [per mil PDB] (Cibicidoides wuellerstorfi + ..,U1146 bent d18O [per mil PDB] (Cibicidoides wuellerstorfi + ..
4.751362814,0.01,2.39
4.75608373,-0.01,2.41
4.758444189,0.18,2.5
4.760804647,0.09,2.37
4.763165105,0.08,2.4
4.765525564,-0.04,2.31
4.767886022,-0.04,2.37
4.77024648,-0.2,2.35
4.772606939,-0.04,2.35
4.774967397,-0.1,2.43
4.777327855,-0.18,2.33
4.779688314,-0.17,2.48
4.782048772,-0.02,2.49
4.784409231,-0.16,2.4
4.786769689,-0.09,2.35
4.789130147,-0.06,2.52
4.791490606,-0.06,2.49
4.793851064,0.01,2.44
4.796211522,-0.09,2.38
4.798571981,-0.02,2.38
4.800932439,-0.09,2.41
4.803292897,-0.23,2.39
4.805653356,-0.08,2.34
4.808013814,0,2.34
4.810374272,-0.17,2.31
4.812734731,-0.23,2.3
4.815095189,-0.15,2.39
4.817455647,-0.08,2.39
4.819816106,-0.03,2.3
4.822176564,0.09,2.48
4.824537022,-0.23,2.46
4.826897481,-0.03,2.52
4.829257939,0.03,2.52
4.831618398,0,2.46
4.833978856,-0.03,2.34
4.836339314,0.13,2.6
4.838699773,0.03,2.45
4.841060231,0.01,2.4
4.843420689,-0.03,2.32
4.845781148,0.03,2.26
4.848141606,0.03,2.44
4.850502064,-0.01,2.37
4.852862523,-0.03,2.39
4.855222981,0.02,2.38
4.857583439,-0.17,2.41
4.859943898,-0.21,2.3
4.862304356,-0.16,2.41
4.864664814,-0.23,2.4
4.867025273,-0.29,2.41
4.869385731,-0.17,2.23
4.87174619,-0.28,2.39
4.874106648,-0.16,2.54
4.876467106,-0.22,2.42
4.878827565,-0.2,2.59
4.881188023,-0.3,2.66
4.883548481,-0.26,2.69
4.88590894,-0.21,2.81
4.888269398,-0.23,2.78
4.890629856,-0.61,2.77
4.892990315,-0.56,2.59
4.895350773,-0.5,2.66
4.897711231,-0.26,2.64
4.90007169,-0.35,2.6
4.902432148,-0.26,2.46
4.904792606,-0.14,2.51
4.907153065,-0.17,2.44
4.909513523,-0.03,2.49
4.911873981,0.02,2.41
4.91423444,-0.09,2.39
4.916594898,0.06,2.58
4.918955357,-0.03,2.57
4.921315815,0.18,2.44
4.923676273,0.12,2.49
4.926036732,0.08,2.36
4.92839719,0.06,2.34
4.930757648,0.03,2.35
4.933118107,0.13,2.45
4.935478565,0.14,2.34
4.937839023,0.02,2.56
4.940199482,0.07,2.47
4.94255994,0.15,2.41
4.944920398,0.06,2.33
4.947280857,-0.04,2.39
4.949641315,-0.02,2.41
4.952001773,0.04,2.36
4.954362232,0.19,2.5
4.95672269,0.14,2.55
4.959083149,0.22,2.58
4.961443607,-0.04,2.33
4.963804065,0.01,2.54
4.966164524,-0.38,2.53
4.97088544,0.07,2.34
4.973245899,-0.04,2.41
4.975606357,0.03,2.39
4.977966815,-0.13,2.49
4.980327274,0.02,2.49
4.982687732,0,2.65
4.98504819,-0.03,2.49
4.987408649,-0.11,2.48
4.989769107,-0.14,2.73
4.992129565,-0.11,2.64
4.994490024,-0.24,2.62
4.996850482,-0.29,2.62
4.99921094,-0.28,2.69
5.001571399,-0.21,2.71
5.003931857,-0.16,2.56
5.006292316,-0.08,2.66
5.008652774,-0.2,2.71
5.011013232,-0.08,2.66
5.013373691,-0.11,2.62
5.015734149,-0.06,2.63
5.018094607,-0.09,2.54
5.020455066,-0.09,2.56
5.022815524,0.12,2.58
5.025175982,0.12,2.57
5.027536441,0.06,2.49
5.029896899,0.12,2.53
5.032257357,0.04,2.44
5.034617816,0,2.42
5.036978274,0.16,2.56
5.039338732,0.2,2.35
5.041699191,0.09,2.41
5.044059649,0.15,2.37
5.046420108,0.17,2.21
5.048780566,0.11,2.59
5.051141024,0.31,2.39
5.053501483,0.13,2.42
5.055861941,0.22,2.35
5.058222399,0.2,2.33
5.060582858,0.01,2.37
5.062943316,0.01,2.37
5.065303774,0.16,2.28
5.067664233,0.13,2.29
5.070024691,-0.08,2.31
5.072385149,0.02,2.25
5.074745608,-0.01,2.6
5.077106066,0.03,2.47
5.079466524,0,2.33
5.081826983,-0.13,2.45
5.084187441,0.11,2.49
5.086547899,0.09,2.56
5.088908358,-0.01,2.56
5.091268816,0.02,2.47
5.093629275,0,2.5
5.095989733,-0.02,2.48
5.098350191,0,2.55
5.10071065,0.07,2.58
5.103071108,0.18,2.6
5.105431566,0.16,2.59
5.107792025,0.22,2.62
5.110152483,0.22,2.57
5.112512941,0.17,2.51
5.1148734,0.33,2.42
5.117233858,0.21,2.58
5.119594316,0.3,2.25
5.121954775,0.11,2.37
5.124315233,0.22,2.32
5.126675691,0.2,2.44
5.12903615,0.34,2.5
5.131396608,0.23,2.36
5.133757067,0.37,2.5
5.136117525,0.31,2.49
5.138477983,0.38,2.36
5.140838442,0.46,2.5
5.1431989,0.29,2.45
5.145559358,0.14,2.53
5.147919817,0.19,2.5
5.150280275,0.25,2.47
5.152640733,0.08,2.52
5.155001192,0.13,2.59
5.15736165,0.12,2.5
5.159722108,0.2,2.59
5.162082567,0.07,2.53
5.164443025,0.15,2.69
5.166803483,0.19,2.53
5.169163942,0.06,2.54
5.1715244,0.04,2.41
5.173884858,-0.03,2.42
5.176245317,0.07,2.49
5.178605775,0.12,2.52
5.180966234,0.19,2.51
5.183326692,0.23,2.56
5.184742967,0.15,2.63
5.187103425,0.14,2.49
5.189463884,0.08,2.49
5.191824342,0.11,2.49
5.1941848,0.01,2.44
5.196545259,0.09,2.47
5.198905717,0.17,2.51
5.201266175,0.27,2.41
5.203626634,0.04,2.56
5.205987092,0.08,2.51
5.216373109,0.24,2.46
5.218733567,0.05,2.46
5.221094026,-0.05,2.28
5.223454484,0.08,2.51
5.225814942,-0.13,2.49
5.228175401,-0.16,2.59
5.230535859,-0.11,2.56
5.232896317,-0.05,2.47
5.235256776,0.03,2.34
5.237617234,0.15,2.3
5.239977692,0.22,2.47
5.242338151,0,2.35
5.244698609,0.16,2.56
5.247059067,0.17,2.7
5.249419526,0.3,2.4
5.251779984,0.07,2.43
5.254140442,0.21,2.43
5.256500901,0.12,2.56
5.258861359,-0.01,2.52
5.261221817,-0.09,2.54
5.263582276,0.02,2.67
5.265942734,0.01,2.42
5.268303193,0.18,2.47
5.270663651,-0.03,2.52
5.273024109,0.19,2.47
5.275384568,0.21,2.38
