Age model opt [ka],Cibicidoides spp. d13C [per mil PDB]
17.862,0.796
17.865,1.041
17.867,0.75
17.87,0.74
17.873,0.848
17.876,0.75
17.879,0.79
17.884,0.739
17.889,-0.16
17.894,0.694
17.898,0.453
17.9,0.97
17.903,0.327
17.908,0.319
17.913,0.522
17.917,-0.053
17.931,0.298
17.934,0.74
17.941,0.557
17.945,0.43
17.948,0.166
17.952,0.55
17.955,0.97
17.959,0.79
17.96,1.04
17.962,0.725
17.965,0.668
17.969,0.376
17.972,1.236
17.973,1.03
17.976,1.169
17.979,1.188
17.983,1.149
17.986,0.923
17.99,0.778
17.993,0.677
17.997,0.54
18,0.41
18.004,0.751
18.008,0.674
18.012,0.358
18.016,0.591
18.02,0.453
18.024,0.265
18.028,-0.17
18.03,0.59
18.033,0.291
18.037,-0.081
18.041,0.398
18.045,-0.055
18.049,0.407
18.053,0.568
18.062,0.801
18.066,0.702
18.07,0.694
18.074,0.652
18.078,0.654
18.087,0.916
18.091,0.799
18.092,1.04
18.096,0.941
18.099,1.055
18.105,0.74
18.107,0.946
18.11,0.876
18.113,1.02
18.123,0.928
18.123,0.89
18.129,1.039
18.134,0.427
18.139,0.745
18.144,0.514
18.15,0.051
18.155,0.496
18.16,0.017
18.164,0.625
18.166,0.918
18.169,0.74
18.172,1.104
18.175,1.072
18.177,0.958
18.18,1.168
18.181,1.19
18.183,1.16
18.185,1.111
18.188,0.827
18.191,0.604
18.194,0.877
18.196,0.718
18.199,0.71
18.208,0.491
18.211,0.897
18.218,1.21
18.22,1.13
18.221,1.033
18.224,1.154
18.227,1.117
18.23,0.528
18.233,0.077
18.237,0.91
18.24,0.776
18.251,0.848
18.257,0.605
18.262,0.531
18.268,0.426
18.273,0.128
18.283,0.354
18.288,0.034
18.289,0.6
18.293,0.392
18.297,0.349
18.301,0.068
18.306,0.699
18.309,0.314
18.312,0.648
18.315,0.488
18.318,0.677
18.324,0.77
18.327,0.141
18.332,0.625
18.334,0.748
18.413,1.003
18.415,0.186
18.417,0.221
18.422,0.82
18.422,0.85
18.428,0.918
18.433,0.91
18.437,0.903
18.44,0.984
18.443,1.09
18.447,1.11
18.45,0.786
18.453,0.82
18.457,1.08
18.46,1.02
18.463,0.286
18.467,0.99
18.47,0.783
18.474,1.057
18.477,0.94
18.478,0.969
18.481,0.87
18.485,0.6
18.489,0.794
18.493,0.791
18.497,0.85
18.501,0.138
18.505,0.878
18.509,0.573
18.513,0.481
18.517,-0.083
18.521,0.634
18.525,-0.252
18.529,0.541
18.532,0.751
18.534,1.05
18.534,0.765
18.537,0.736
18.539,1.071
18.541,0.94
18.544,0.72
18.548,0.981
18.551,0.663
18.554,1.07
18.561,0.844
18.573,0.768
18.577,0.571
18.585,1.02
18.585,1.032
18.589,1.066
18.594,0.963
18.597,0.685
18.601,0.934
18.605,0.944
18.609,0.849
18.612,0.777
18.615,0.97
18.618,0.336
18.621,0.663
18.624,0.535
18.627,1.102
18.63,1.116
18.633,1.044
18.636,0.89
18.636,0.99
18.639,0.925
18.642,0.562
18.645,0.844
18.648,0.907
18.651,0.85
18.656,1.002
18.663,0.872
18.669,0.812
18.682,0.422
18.687,0.495
18.691,0.693
18.694,0.362
