Depth cr [rmcd] (mid Depth m adjusted to splic...),Age dated [ka] (D17_MT),Foram bent d13C [per mil PDB] (with respect to equilibrium),Foram bent d18O [per mil PDB] (with respect to equilibrium)
110.04,5927,-0.21,3.01
110.07,5928,-0.27,3.1
110.14,5931,-0.1,3.22
110.16,5932,-0.21,3.15
110.24,5936,-0.31,3.19
110.27,5937,-0.19,3.14
110.37,5942,-0.56,3.43
110.44,5945,-0.11,3.32
110.47,5946,-0.26,3.25
110.55,5950,-0.27,3.29
110.58,5951,-0.21,3.25
110.65,5954,-0.13,3.44
110.68,5956,-0.7,3.49
110.75,5959,-0.2,3.32
110.78,5960,-0.22,3.31
110.85,5963,-0.22,3.26
110.88,5965,0.02,3.25
110.95,5968,0.01,3.36
110.98,5969,-0.05,3.16
111.06,5973,0.13,3.26
111.09,5974,0.02,3.23
111.16,5977,-0.08,3.21
111.19,5978,-0.09,3.19
111.26,5982,0.05,3.25
111.29,5983,-0.24,3.09
111.36,5986,-0.37,3.17
111.39,5987,-0.23,3.1
111.47,5991,-0.29,3.21
111.5,5992,-0.44,3.25
111.57,5996,-0.17,3.23
111.6,5997,-0.57,3.42
111.67,6000,-0.69,3.51
111.78,6005,-0.65,3.17
111.81,6006,-0.19,3.22
111.89,6010,-0.1,3.27
111.92,6011,-0.1,3.33
111.95,6013,-0.18,3.23
112,6015,-0.12,3.1
112.07,6018,-0.17,3.11
112.1,6019,-0.04,3.14
112.17,6022,-0.23,3.09
112.2,6024,-0.25,3.33
112.27,6027,-0.19,3.24
112.37,6031,0,3.2
112.4,6033,0.01,3.17
112.47,6036,-0.62,3.54
112.5,6037,-0.28,3.33
112.57,6040,-0.14,3.33
112.6,6042,-0.15,3.33
112.66,6044,0.05,3.26
112.69,6046,-0.1,3.36
112.77,6049,0.08,3.18
112.8,6051,-0.06,3.15
112.86,6053,0.03,3.16
112.9,6055,0.05,3.12
113,6060,-0.14,3.1
113.06,6062,-0.04,3.21
113.09,6064,-0.34,3.23
113.2,6069,-0.21,3.6
113.27,6072,-0.42,3.38
113.3,6073,-0.43,3.57
113.37,6076,-0.39,3.4
113.46,6080,-0.31,3.32
113.51,6082,-0.07,3.24
113.56,6085,-0.02,3.27
113.67,6090,-0.07,3.16
113.7,6091,0.16,3.17
113.77,6094,0.15,3.25
113.8,6095,0.19,3.16
113.87,6099,0.03,3.14
113.9,6100,-0.22,3.21
113.97,6103,0.05,3.19
114,6104,-0.32,3.12
114.07,6107,-0.31,3.26
114.1,6109,-0.26,3.22
114.16,6111,-0.68,3.44
114.19,6113,-0.4,3.27
114.27,6116,-0.48,3.06
114.3,6118,-0.57,3.34
114.37,6121,-0.51,3.32
114.4,6122,-0.51,3.47
114.47,6125,-0.55,3.32
114.5,6127,-0.56,3.31
114.55,6129,-0.36,3.39
114.58,6130,-0.03,3.27
114.67,6134,0.07,3.14
114.7,6136,0.06,3.25
114.77,6139,-0.11,3.11
114.8,6140,0.07,3.22
114.87,6143,0.15,3.28
114.96,6147,0.21,3.24
115.01,6150,-0.05,3.22
115.07,6152,0.11,3.32
115.1,6154,0.2,3.19
115.17,6157,-0.18,3.16
115.2,6158,-0.02,3.03
115.28,6162,-0.13,3.05
115.31,6163,-0.03,3.23
115.38,6166,-0.11,3.12
115.41,6167,-0.29,3.19
115.48,6171,-0.26,3.23
115.52,6172,0.32,3.42
115.59,6175,0.06,3.15
115.62,6177,-0.03,3.18
115.69,6180,-0.12,3.09
115.72,6181,-0.09,3.24
115.8,6185,-0.03,3.09
115.84,6187,0.08,3.15
115.91,6190,-0.02,2.97
115.95,6192,-0.21,3.15
116.02,6195,-0.27,2.91
116.06,6196,-0.34,3.16
116.11,6199,-0.04,2.86
116.14,6200,-0.42,3.19
116.16,6201,-0.41,3.12
116.19,6202,-0.45,3.15
116.26,6205,-0.3,3.16
116.29,6207,-0.14,3.24
116.36,6210,-0.14,3.11
116.39,6211,-0.09,3.07
116.46,6214,0.03,3.07
116.49,6216,0.06,3.06
116.56,6219,0.08,2.97
116.59,6220,-0.06,3.06
116.65,6223,-0.12,3.11
116.68,6224,0.03,3.17
116.76,6228,-0.03,3
116.79,6229,-0.13,3.07
116.86,6232,-0.56,3.37
116.89,6234,-0.45,3.4
116.97,6237,-0.18,3.39
117,6239,-0.37,3.37
117.06,6241,-0.25,2.83
117.09,6243,-0.65,3.59
117.16,6246,-0.28,3.35
117.19,6247,-0.02,3.31
117.26,6250,-0.09,3.26
117.29,6251,0.16,3.3
117.36,6255,0.16,3.19
117.39,6256,0.18,3.25
117.46,6259,0.37,3.27
117.49,6260,0.28,3.14
117.56,6264,-0.11,3.23
117.59,6265,0.03,3.23
117.66,6268,0.28,3.21
117.69,6269,0.17,3.13
117.76,6273,-0.02,3.24
