U1337_ISOBENt18_CCSF,U1337_ISOBENt18_AgeL2019,U1337_ISOBENt18_d13Cequi,U1337_ISOBENt18_d18Oequi
0.01,0.000531605,-0.084,3.6
0.12,0.00637917,0.223,3.548
0.22,0.014294,-0.755,5.06
0.32,0.0225827,-0.984,5.391
0.42,0.0302591,-0.432,4.915
0.5,0.0358455,-0.263,4.702
0.62,0.0435577,-0.743,4.89
0.72,0.0478051,-0.144,4.603
0.82,0.0520525,-0.32,4.481
0.92,0.0563,-0.19,4.33
1,0.0601271,-1.117,4.994
1.12,0.0654773,-0.724,4.677
1.22,0.0691264,-0.172,4.449
1.32,0.0742988,-0.918,4.597
1.42,0.0806667,-0.946,4.73
1.5,0.0857002,-0.67,4.495
1.62,0.0978137,-0.537,4.392
1.72,0.114465,-0.949,5.151
1.82,0.132464,-0.007,3.451
1.92,0.143167,-0.472,4.888
2.04,0.14803,-0.844,4.837
2.12,0.151337,-0.558,4.685
2.22,0.155322,-0.558,4.697
2.32,0.159377,-0.676,4.616
2.42,0.16342,-0.935,4.62
2.54,0.170513,-1.15,4.604
2.62,0.17212,-1.348,4.896
2.72,0.176959,-0.733,4.539
2.82,0.1818,-0.653,4.583
2.92,0.186573,-0.397,4.308
3,0.191442,-1.112,4.496
3.12,0.200483,-0.165,4.029
3.32,0.21291,-0.145,4.032
3.42,0.222573,-0.886,4.613
3.54,0.233872,-0.313,4.44
3.62,0.24033,-0.72,4.558
3.72,0.248195,-0.397,3.823
3.82,0.252378,-0.592,4.413
3.92,0.256309,-1.382,4.757
4.04,0.261118,-0.464,4.218
4.12,0.264358,-0.796,4.484
4.32,0.277148,-1.035,4.421
4.42,0.287,-0.634,4.43
4.52,0.29674,-1.064,4.66
4.62,0.30648,-0.552,4.223
4.73,0.316608,-0.59,4.639
4.82,0.323373,-0.586,4.03
4.92,0.33086,-0.364,3.87
5.02,0.338347,-0.567,4.744
5.12,0.34491,-0.799,4.632
5.32,0.359451,-0.592,4.175
5.42,0.366631,-0.438,4.412
5.52,0.374364,-0.619,4.4
5.62,0.382098,-0.249,4.188
5.72,0.389831,-0.263,4.155
5.82,0.397881,-0.089,3.85
5.92,0.406744,-0.081,3.721
6.02,0.415626,-0.713,4.878
6.12,0.42523,-0.464,4.964
6.23,0.437685,-0.537,4.695
6.32,0.441982,-0.598,4.504
6.42,0.449223,-0.635,4.545
6.52,0.461086,-0.466,4.486
6.62,0.468328,-0.361,4.251
7.02,0.490078,-0.057,4.012
7.12,0.495838,0.082,3.917
7.22,0.502031,-0.033,4.114
7.32,0.515579,-0.473,4.456
7.42,0.529774,-0.38,4.558
7.52,0.543485,-0.637,4.751
7.62,0.559334,-0.474,4.243
7.73,0.579193,-0.482,4.127
7.82,0.594276,-0.244,3.697
7.92,0.609281,-0.27,3.94
8.02,0.624321,-0.132,3.852
8.12,0.631289,-0.368,4.058
8.23,0.637267,-0.49,4.784
8.32,0.642021,-0.576,4.982
8.42,0.646858,-0.523,4.921
8.52,0.651696,-0.642,4.72
8.62,0.657152,-0.614,4.687
8.72,0.663885,-0.754,4.795
8.82,0.670621,-0.807,4.67
8.92,0.677357,-0.991,4.702
9.02,0.68394,-0.919,4.452
9.22,0.696755,-0.626,4.273
9.32,0.704955,-0.326,4.102
9.42,0.714992,-0.234,4.155
9.52,0.724895,-0.635,4.647
9.62,0.733197,-0.445,4.575
9.72,0.739473,-0.154,4.226
9.82,0.745749,-0.496,4.293
9.92,0.751224,-0.769,4.153
10.02,0.755376,-0.705,4.551
10.12,0.759657,-0.655,4.256
10.22,0.763825,-0.543,4.4
10.52,0.783128,-0.963,4.544
10.62,0.790588,-1.004,4.633
10.72,0.797421,-0.896,4.729
10.82,0.804584,-0.729,4.452
10.92,0.812025,-0.603,4.27
11.02,0.820095,-0.737,4.141
11.12,0.830293,-0.481,4.016
11.23,0.844063,-0.678,4.171
11.32,0.849201,-1.013,4.354
11.42,0.854928,-0.882,3.91
11.52,0.860654,-1.002,4.399
11.62,0.866187,-1.073,4.884
11.72,0.870496,-0.921,4.688
11.82,0.878335,-1.19,4.881
11.92,0.886176,-0.992,4.691
12.02,0.894019,-1.409,4.016
12.12,0.901857,-0.461,4.287
12.22,0.909699,-0.819,4.1
12.32,0.916639,-1.255,4.99
12.43,0.923278,-0.947,4.39
12.52,0.928695,-1.186,4.8
12.62,0.934841,-0.926,4.709
12.72,0.941714,-0.953,4.483
12.82,0.945055,-0.684,4.296
13.02,0.949074,-0.418,4.084
13.32,0.955106,-0.38,3.884
13.52,0.959125,-0.536,3.868
13.62,0.961147,-0.528,4.249
13.72,0.963169,-0.104,3.715
13.93,0.967406,-0.86,4.363
14.02,0.978203,-0.489,4.149
14.12,0.9924,-0.218,4.014
14.22,1.00243,-0.263,4.187
14.43,1.02256,-0.541,4.296
14.52,1.03125,-0.442,4.213
14.62,1.04059,-0.773,4.373
14.72,1.04976,-0.7,4.338
14.82,1.05898,-0.653,4.104
14.93,1.06966,-0.408,3.971
15.02,1.07822,-0.264,4.1
15.12,1.08768,-0.645,4.232
15.22,1.09715,-0.272,3.886
15.32,1.10662,-0.703,4.499
15.43,1.11703,-0.687,4.183
15.52,1.12103,-0.223,4.108
15.62,1.12398,-0.621,4.639
15.72,1.12664,-0.455,4.43
15.82,1.12927,-0.609,4.165
15.93,1.13217,-0.47,4.377
16.02,1.13492,-0.143,3.979
16.12,1.14259,-0.094,3.893
16.22,1.16323,-0.443,3.821
16.32,1.17718,0.082,3.933
16.43,1.18302,-0.506,4.222
16.52,1.18756,-0.47,4.398
16.62,1.19206,-0.727,4.273
16.72,1.19734,-0.612,4.22
16.82,1.20322,-0.653,4.137
16.93,1.2097,-0.721,4.245
17.02,1.2174,-0.532,4.02
17.12,1.22556,-0.358,3.838
17.22,1.23257,-0.372,3.675
17.32,1.23865,-0.369,3.622
17.43,1.24411,-0.412,3.851
17.52,1.25061,-0.657,4.532
17.62,1.25684,-0.911,4.633
17.72,1.26215,-0.618,4.357
17.82,1.26748,-0.464,4.069
17.93,1.27333,-0.192,4.165
18.02,1.27813,0.042,3.742
18.12,1.28343,-0.024,3.551
18.22,1.28914,-0.364,3.858
18.32,1.29619,-0.396,4.348
18.43,1.30403,-0.443,4.112
18.52,1.31161,-0.529,4.19
18.62,1.32019,0.038,3.714
18.72,1.3242,-0.285,4.099
18.82,1.32766,-0.242,3.678
18.93,1.33225,-0.511,4.286
19.02,1.33554,-0.594,4.056
19.12,1.33817,-0.735,4.324
19.22,1.34079,-0.505,4.121
19.32,1.34341,-0.562,4.171
19.42,1.34603,-0.537,4.087
19.52,1.34866,-0.45,3.969
19.62,1.35128,-0.519,4.269
19.72,1.35473,-0.349,3.899
19.82,1.36006,-0.008,3.776
19.92,1.36628,-0.306,4.16
20.02,1.37252,-0.289,4.2
20.12,1.38264,-0.322,4.184
20.22,1.39174,-0.188,3.988
20.32,1.39964,-0.51,4.229
20.42,1.40507,-0.926,4.406
20.52,1.40994,-0.199,3.861
20.72,1.42231,-0.309,3.926
20.82,1.42831,0.035,3.038
20.92,1.43432,-0.545,3.707
21.02,1.44087,-0.74,3.589
21.12,1.44842,-1.035,3.688
21.32,1.46415,-0.428,4.14
21.42,1.47254,-0.326,3.662
21.52,1.48093,-0.191,4.404
21.62,1.48747,-1.503,4.212
21.72,1.49387,0.232,4.22
21.92,1.50518,0.312,3.798
22.02,1.51061,-0.341,4.19
22.22,1.52144,-0.458,4.35
22.32,1.52599,-0.588,4.63
22.52,1.53452,-0.499,4.291
22.62,1.53879,-0.82,4.412
22.72,1.54292,-0.808,3.974
22.82,1.54699,-0.154,3.815
23.12,1.5592,-0.608,4.212
23.32,1.56641,-0.189,4.084
23.42,1.56977,-0.419,3.883
23.72,1.58253,-0.619,4.326
23.82,1.58799,-0.717,3.794
24.12,1.60647,-1.127,3.995
24.22,1.61265,-0.841,4.327
24.42,1.6267,-0.219,3.907
24.52,1.63284,-0.381,4.149
24.62,1.63839,-1.717,4.095
24.72,1.64435,-1.158,4.677
24.82,1.65032,-0.736,4.249
24.92,1.65686,-0.409,4.205
25.02,1.66433,-0.849,4.105
25.12,1.6718,-0.584,4.08
25.22,1.67909,-0.412,4.042
25.32,1.68618,-0.632,3.736
25.43,1.69397,-0.801,4.185
