Depth adj rmcd [armcd],Age [ka BP],Foram bent δ13C [‰ PDB],Foram bent δ18O [‰ PDB]
88.955,21964,1.15,1.81
88.995,21969,1.11,1.78
89.035,21973,0.84,1.29
89.075,21977,0.9,1.8
89.115,21980,0.76,1.72
89.195,21988,0.86,1.49
89.235,21991,0.97,1.49
89.275,21995,0.77,1.49
89.315,21999,0.75,1.64
89.395,22006,0.88,1.71
89.415,22008,0.91,1.81
89.515,22017,0.69,1.28
89.535,22019,0.75,1.26
89.555,22021,0.96,1.33
89.595,22024,1.23,1.72
89.635,22028,0.79,1.37
89.675,22032,1.11,1.81
89.715,22035,0.97,1.31
89.735,22037,1.48,1.85
89.795,22043,1.32,1.52
89.835,22046,1.05,1.9
89.875,22050,1.15,2.1
89.915,22054,1.3,1.89
89.955,22057,1.28,1.73
90.035,22064,0.67,2.01
90.075,22068,1.29,2.01
90.115,22072,1.16,1.85
90.155,22075,1.34,2.09
90.195,22078,1.25,1.9
90.255,22082,1.08,1.83
90.265,22083,1.11,1.94
90.275,22084,0.88,1.82
90.285,22084,1.02,1.86
90.295,22085,0.91,1.83
90.305,22086,1.16,1.86
90.315,22086,1.16,1.83
90.435,22095,1.1,1.73
90.475,22098,1.02,1.74
90.515,22100,1.08,1.72
90.555,22103,1.67,2.08
90.635,22109,0.87,1.41
90.675,22111,1.03,1.55
90.715,22114,1.14,1.66
90.795,22120,1.14,1.48
90.835,22123,1.07,1.63
90.875,22125,1.17,1.69
90.915,22128,1.26,1.78
90.955,22131,1.03,1.52
90.995,22134,1.34,2.25
91.075,22139,0.81,1.4
91.115,22142,1.59,1.97
91.155,22145,1.19,2.11
91.235,22150,1.31,2.06
91.275,22153,1.2,2.04
91.395,22162,1.25,1.83
91.435,22164,1.26,1.91
91.475,22167,1.51,2.03
91.515,22170,1.48,2.01
91.555,22173,1.44,1.86
91.595,22175,1.03,1.95
91.635,22178,1.28,1.99
91.675,22181,1.23,1.95
91.715,22183,1.11,1.93
91.755,22185,1.05,2.01
91.795,22187,0.99,1.73
91.875,22191,1.35,1.94
91.915,22192,1.07,1.83
91.945,22194,1.34,1.85
91.985,22196,1.29,1.84
92.025,22197,1.38,1.8
92.065,22199,1.01,1.73
92.105,22201,0.93,1.74
92.145,22203,1.13,1.67
92.185,22205,1.29,1.72
92.225,22207,1.22,1.73
92.265,22209,1.04,1.88
92.285,22209,1.22,1.72
92.305,22210,1.23,1.57
92.325,22211,1.34,1.96
92.345,22212,1.03,1.74
92.385,22214,1.25,1.64
92.425,22216,0.96,1.65
92.465,22218,1.32,1.58
92.505,22220,1.04,1.81
92.545,22221,1.42,1.98
92.585,22223,1.2,1.84
92.665,22227,1.05,1.74
92.745,22231,1.19,1.93
92.785,22233,1,1.89
92.945,22240,1.27,1.86
93.065,22245,1.28,1.78
93.105,22247,0.96,1.56
93.145,22249,1.23,1.7
93.225,22253,1.38,1.76
93.265,22255,0.94,1.57
93.305,22257,1.47,1.86
93.345,22258,0.96,1.72
93.453,22263,1.35,2.07
93.522,22267,1.2,1.99
93.557,22269,0.98,1.81
93.591,22271,1.25,1.91
93.615,22273,0.54,1.98
93.655,22275,1.53,1.76
93.695,22278,1.5,1.53
93.735,22280,0.91,1.77
93.775,22283,1.37,1.92
93.855,22288,1.07,1.81
93.895,22290,1.27,1.56
93.975,22295,1.46,1.75
94.015,22298,1.19,1.54
94.055,22300,1.34,1.63
94.095,22303,1.41,1.67
94.135,22305,1.17,1.86
94.175,22308,1.4,1.83
94.255,22313,1.22,1.8
94.295,22316,1.37,1.76
94.375,22321,1.31,1.99
94.415,22323,1.05,1.83
94.455,22326,1.19,1.69
94.615,22336,1.32,1.89
94.655,22338,1.63,1.86
94.695,22341,0.99,1.57
94.735,22343,1.06,1.64
94.775,22346,1.3,1.79
94.815,22348,1.3,1.65
