Age model opt [ka],Cibicidoides spp. d18O [per mil PDB]
17.862,1.224
17.865,1.178
17.867,1.4
17.87,1.45
17.873,1.602
17.876,1.45
17.879,1.45
17.884,1.476
17.889,1.332
17.894,1.023
17.898,1.206
17.9,1.13
17.903,1.457
17.908,1.427
17.913,1.159
17.917,1.079
17.931,0.922
17.934,1.16
17.941,1.141
17.945,1.532
17.948,1.66
17.952,1.602
17.955,1.4
17.959,1.18
17.96,1.45
17.962,1.363
17.965,1.387
17.969,1.564
17.972,1.254
17.973,1
17.976,1.184
17.979,1.182
17.983,1.106
17.986,1.046
17.99,1.115
17.993,1.398
17.997,1.428
18,1.462
18.004,1.192
18.008,1.034
18.012,0.982
18.016,0.881
18.02,1.47
18.024,1.191
18.028,1.04
18.03,0.93
18.033,1.07
18.037,0.891
18.041,1.191
18.045,1.405
18.049,1.395
18.053,0.847
18.062,1.151
18.066,1.093
18.07,1.119
18.074,0.869
18.078,1.12
18.087,1.292
18.091,1.341
18.092,1.37
18.096,1.251
18.099,1.047
18.105,1.045
18.107,1.398
18.11,1.019
18.113,1.44
18.123,1.038
18.123,1.09
18.129,1.191
18.134,1.432
18.139,1.346
18.144,1.257
18.15,1.191
18.155,1.3
18.16,1.377
18.164,1.381
18.166,1.184
18.169,1
18.172,1.295
18.175,1.277
18.177,1.324
18.18,1.207
18.181,0.92
18.183,1.212
18.185,1.217
18.188,1.437
18.191,1.549
18.194,1.548
18.196,1.155
18.199,1.93
18.208,1.423
18.211,1.258
18.218,1.21
18.22,1.29
18.221,1.102
18.224,1.007
18.227,1.079
18.23,1.309
18.233,1.515
18.237,1.38
18.24,1.533
18.251,1.345
18.257,1.463
18.262,1.515
18.268,1.571
18.273,1.412
18.283,1.434
18.288,1.603
18.289,1.08
18.293,1.565
18.297,1.448
18.301,1.323
18.306,1.143
18.309,1.399
18.312,1.169
18.315,1.104
18.318,1.049
18.324,1.37
18.327,1.649
18.332,1.842
18.334,1.837
18.413,1.15
18.415,1.058
18.417,1.291
18.422,1.54
18.422,1.08
18.428,0.882
18.433,0.868
18.437,0.976
18.44,1.157
18.443,1.46
18.447,1.4
18.45,1.266
18.453,1.38
18.457,1.26
18.46,1.302
18.463,1.587
18.467,1.115
18.47,1.13
18.474,1.17
18.477,1.01
18.478,1.128
18.481,1.012
18.485,1.23
18.489,1.23
18.493,1.25
18.497,1.156
18.501,1.14
18.505,0.834
18.509,1.099
18.513,0.957
18.517,0.997
18.521,0.941
18.525,1.231
18.529,1.457
18.532,1.516
18.534,1.2
18.534,1.512
18.537,1.457
18.539,1.365
18.541,1.081
18.544,1.389
18.548,1.409
18.551,1.468
18.554,1.27
18.561,1.356
18.573,1.378
18.577,1.508
18.585,1.17
18.585,1.439
18.589,1.456
18.594,1.443
18.597,1.121
18.601,1.339
18.605,1.524
18.609,1.695
18.612,1.524
18.615,1.25
18.618,1.421
18.621,1.565
18.624,1.617
18.627,1.423
18.63,1.42
18.633,1.436
18.636,1.23
18.636,1.371
18.639,1.334
18.642,1.394
18.645,1.424
18.648,1.255
18.651,1.417
18.656,1.207
18.663,1.053
18.669,1.231
18.682,1.489
18.687,1.011
18.691,1.244
18.694,1.218
18.697,1.401
18.748,1.246
18.751,1.31
18.754,1.059
18.757,1.548
18.757,1.11
18.759,1.22
18.762,1.28
18.764,1.264
18.767,1.674
18.773,1.687
18.777,1.552
18.781,1.108
18.784,1.282
18.788,1.12
18.792,0.888
18.796,1.333
18.803,1.106
18.807,1.08
18.811,1.417
18.814,1.266
18.818,1.727
18.821,1.204
18.824,1.346
18.828,1.041
18.834,1.155
18.837,1.458
18.841,1.308
18.844,1.457
18.847,1.316
18.85,1.349
18.853,1.253
18.856,1.33
18.857,1.275
18.86,1.176
18.863,1.319
18.866,1.143
18.874,0.968
18.879,1.216
18.888,1.545
18.892,1.466
18.896,1.264
18.9,1.327
18.903,1.14
18.907,0.967
18.911,1.081
18.914,1.03
18.915,1.126
18.918,1.147
18.922,1.154
18.926,1.331
18.929,1.487
18.933,1.36
18.937,1.323
18.94,1.39
18.944,1.377
18.948,1.36
18.951,1.402
18.955,1.468
18.959,1.44
18.962,1.514
18.966,1.375
18.969,1.3
18.97,1.353
18.974,1.326
18.978,1.16
18.981,1.346
18.985,1.209
18.989,1.473
18.993,1.155
18.998,1.323
19.002,1.308
19.006,1.494
19.01,1.377
19.014,1.198
19.018,1.317
19.022,1.307
19.027,1.117
19.03,1.17
19.031,1.137
19.034,1.324
19.038,1.433
19.042,1.6
19.046,1.584
19.051,1.424
19.056,1.23
19.06,1.15
19.065,0.978
19.07,1.45
19.075,1.539
19.08,1.727
19.085,1.72
19.089,1.84
19.094,1.65
19.097,1.44
19.098,1.43
19.103,1.415
19.107,1.47
19.119,1.572
19.123,1.681
19.128,1.671
19.129,1.64
19.131,1.709
19.135,1.42
19.138,1.328
19.141,1.171
19.145,1.178
19.147,1.22
19.149,1.365
19.152,1.239
19.154,1.115
19.156,1.079
19.158,1.14
19.16,1.19
19.163,1.194
19.165,1.821
19.167,1.582
19.168,1.21
19.17,1.068
19.172,1.006
19.175,1.141
19.178,1.329
19.18,1.245
19.183,1.088
19.186,1.098
19.188,1.48
19.191,1.331
19.194,1.422
19.196,1.526
19.199,1.414
19.206,1.43
19.209,1.45
19.21,0.788
19.215,1.078
19.219,1.14
19.224,0.767
19.229,0.973
19.233,1.037
19.238,1.523
19.243,1.579
19.246,1.523
19.249,1.37
19.253,1.45
19.259,1.428
19.262,1.544
19.265,1.222
19.268,1.25
19.269,1.533
19.272,1.279
19.275,1.413
19.278,1.271
19.281,1.487
19.284,1.514
19.287,1.744
19.29,1.209
19.293,1.481
19.296,1.315
19.299,1.34
19.302,1.283
19.305,1.4
19.308,1.312
19.311,1.393
19.312,1.46
19.314,1.54
19.317,1.594
19.32,1.412
19.322,1.391
19.325,1.494
19.329,1.846
19.334,1.592
19.34,1.596
19.345,1.396
19.35,1.507
19.355,1.558
19.361,1.282
19.365,1.779
19.368,1.693
19.37,1.564
19.372,1.532
19.375,1.57
19.377,1.45
19.38,1.482
19.383,1.286
19.387,1.447
19.39,1.349
19.393,1.348
19.397,1.399
19.4,1.386
19.403,1.364
19.406,1.45
19.41,1.482
19.413,1.651
19.416,1.581
19.42,1.473
19.423,1.479
19.426,1.533
19.427,1.409
19.43,1.533
19.431,1.709
19.436,1.629
19.44,1.662
19.442,1.51
19.445,1.716
19.448,1.735
19.451,1.789
19.454,1.684
19.457,1.573
19.46,1.581
19.463,1.516
19.466,1.47
19.47,1.356
19.473,1.609
19.476,1.347
19.479,1.286
19.482,1.34
19.485,1.396
19.488,1.546
19.489,1.49
19.491,1.514
19.494,1.285
19.497,1.304
19.499,1.194
19.502,1.281
19.505,1.376
19.508,1.101
19.51,0.863
19.516,0.762
19.518,0.777
19.521,1.028
19.524,1.374
19.532,1.76
19.534,1.549
19.537,1.304
19.541,1.278
19.544,1.252
19.548,1.363
19.551,1.25
19.555,1.194
19.559,1.277
19.562,1.301
19.566,1.325
19.569,1.556
19.576,1.513
19.58,1.499
19.583,1.372
19.585,1.28
19.587,1.179
19.594,1.199
19.598,1.489
19.601,0.95
19.613,0.912
19.616,0.844
19.624,1.09
19.637,0.949
19.642,0.948
19.645,1.35
19.648,1.364
19.654,1.215
19.657,1.369
19.66,1.391
19.667,1.205
19.67,1.321
19.673,1.3
19.677,1.278
19.68,1.367
19.683,1.345
19.687,1.406
19.691,1.33
19.696,0.981
19.7,0.967
19.702,1.16
19.705,0.926
19.709,1.044
19.713,0.537
19.718,0.782
19.722,0.697
19.805,1.698
19.809,1.845
19.813,1.716
19.815,1.57
19.817,1.468
19.821,1.34
19.825,1.303
19.828,1.316
19.832,1.339
19.835,1.379
19.839,1.255
19.846,1.146
19.852,1.168
19.864,1.651
19.87,1.461
19.876,1.457
19.879,1.453
19.882,1.552
19.885,1.54
19.888,1.526
