depth_m,age_calkaBP,d13Cc.wuell,d18Oc.wuell-cor64
0.025,0,0.87,3.2
0.045,1.7,1.17,3.41
0.07,3.8,0.82,3.55
0.095,5.9,0.26,4.23
0.12,8,0.56,4.02
0.145,10.1,0.26,4.97
0.17,12.3,0.85,3.84
0.195,15.3,0.46,4.81
0.22,18.8,0.33,5.06
0.245,22.3,0.22,5.09
0.27,25.8,0.33,5
0.295,29.2,0.23,4.68
0.32,32.7,0.32,4.43
0.345,36.2,0.04,4.94
0.37,39.7,0.48,4.82
0.395,43.2,0.42,4.61
0.42,46.7,0.26,4.59
0.445,50.2,0.47,4.75
0.47,53.7,0.55,4.17
0.495,57.2,0.15,4.61
0.525,61.4,-0.01,4.75
0.545,64.2,-0.05,4.8
0.57,67.7,0.7,4.71
0.595,71.2,0.18,4.89
0.62,73.7,0.35,4.26
0.645,77.4,0.59,3.64
0.67,82.1,0.58,4.61
0.695,86.8,0.59,3.98
0.72,91.5,0.12,4.45
0.745,96.3,0.81,4.22
0.77,101,0.39,3.3
0.795,103.5,0.51,4.27
0.82,106,0.56,4.11
0.845,108.4,0.49,4.36
0.87,110.9,-0.08,3.99
0.895,113.4,0.01,4.49
0.92,115.4,0.79,3.94
0.945,117.3,0.44,4.15
0.97,119.3,0.03,3.79
0.995,121.2,0.6,3.36
1.02,123.2,0.24,3.83
1.045,125.1,0.76,3.41
1.07,127.1,0.42,3.94
1.095,129,0.08,4.87
1.12,131,0.96,3.44
1.145,133.4,-0.05,5.2
1.17,136.3,-0.45,5.07
1.195,139.2,-0.18,4.93
1.22,142,0,4.85
1.245,144.9,-0.2,4.94
1.27,147.8,-0.11,4.88
1.295,150.7,-0.27,4.97
1.32,153.6,-0.26,4.84
1.345,156.5,0.13,4.92
1.37,159.4,-0.43,4.95
1.395,162.3,0.09,4.67
1.42,165.1,0.02,4.53
1.445,168,-0.06,4.83
1.465,170.3,-0.14,4.84
1.52,176.7,-0.21,4.89
1.545,179.6,-0.09,4.99
1.57,182.5,-0.51,4.57
1.595,185.4,-0.22,4.76
1.62,188.2,0.87,4.36
1.645,191.1,0.61,3.72
1.67,194,0.69,3.84
1.695,196.9,0.87,4.12
1.72,199.8,0.43,4.04
1.745,202.7,0.46,3.56
1.77,205.6,0.63,3.77
1.795,208.5,0.92,3.79
1.82,211.3,0.75,3.87
1.845,214.2,0.34,4.02
1.87,217.1,0.45,4.06
1.895,220,0.64,3.77
1.92,224.3,-0.06,4.65
1.945,228.7,0.01,5.01
1.97,233,-0.2,4.39
1.995,237.3,-0.28,4.03
2.025,242.5,0.18,3.94
2.045,246,0.33,4.51
2.07,248.3,-0.1,5.08
2.095,250.6,-0.43,4.38
2.12,252.9,0.22,4.48
2.145,255.2,0.18,4.99
2.17,257.5,0.2,4.33
2.195,259.8,0.3,4.47
2.22,262.1,-0.21,4.84
2.245,264.4,0.18,4.82
2.295,268.9,0.35,4.52
2.32,271.2,0.07,4.36
2.345,273.5,0.54,4.36
2.37,275.8,0.14,4.63
2.395,278.1,0.64,4.25
2.42,280.4,0.35,4.24
2.445,282.7,0.47,4.14
2.47,285,-0.23,2.89
2.495,288,0.55,4.38
2.52,291,0.66,4.01
2.545,294,0.25,4.2
2.57,297,0.02,4.32
2.595,300,0.14,4.37
2.62,303,0.58,3.68
2.645,306,0.59,4.11
2.67,309,0.07,4.25
2.695,312,0.46,3.91
2.72,315,0.5,3.92
2.745,318,-0.43,4.94
2.77,321,0.39,3.99
2.795,324,0.91,3.67
2.845,330,0.21,4.48
2.87,333,0.41,3.15
2.895,336,0.19,4.36
2.92,338,-0.15,4.9
2.945,339.9,-0.24,5.46
2.97,341.9,-0.06,5.33
2.995,343.9,0.26,4.45
3.02,345.9,0.02,4.86
3.045,347.9,-0.06,5.25
3.07,349.8,-0.01,4.9
3.095,351.8,-0.33,5.01
3.12,353.8,-0.18,5.07
3.145,355.8,-0.44,4.94
3.195,359.7,-0.26,5.07
3.22,361.7,-0.17,4.96
3.245,363.7,0.06,4.98
3.27,365.7,0.19,4.75
3.295,367.6,0.03,4.88
3.345,371.6,0.45,4.72
3.395,375.5,0.77,4.4
3.42,377.5,0.75,4.24
3.445,379.5,0.5,4.8
3.47,381.5,0.7,4.39
3.495,383.5,0.56,4.42
3.52,385.4,0.23,3.65
3.55,387.8,0.36,4.09
3.57,389.4,1.23,3.61
3.595,391.4,-0.25,4.04
3.62,393.4,1.14,3.69
3.645,395.3,0.61,4.36
3.67,397.3,0.38,4.47
3.695,399.3,0.92,3.91
3.72,401.3,0.34,3.49
3.745,403.2,0.25,3.95
3.795,407.2,1.13,3.74
3.82,409.2,1.03,3.71
3.845,411.2,1.05,3.73
3.87,413.1,-0.08,3.58
3.895,415.1,0.46,4.4
3.92,417.1,0.73,4.26
3.945,419.1,0.78,3.81
3.97,421,0.6,4.19
3.995,423,0.76,4.18
4.02,425,0.61,4.33
4.045,426.1,0.76,4.46
4.07,427.4,-0.17,5.54
4.095,428.7,0.11,4.55
4.12,430.1,-0.23,5.57
4.145,431.4,-0.08,5.16
4.17,432.7,0.03,5.35
4.195,434.1,-0.12,5.59
4.22,435.4,-0.2,5.31
4.245,436.7,-0.1,5.48
4.27,438.1,0.01,5.22
4.295,439.4,0.01,5.31
4.32,440.7,-0.09,5.09
4.345,442.1,0.1,5.25
4.37,443.4,-0.18,5.23
4.395,444.7,-0.21,5.09
4.42,446.1,-0.43,5.08
4.445,447.4,0.12,5.18
4.47,448.7,-0.2,5.14
4.495,450.1,0.2,4.85
4.52,451.4,0.05,5.01
4.54,453.4,0.18,5.07
4.565,455.9,-0.08,5
4.59,458.5,0.04,4.91
4.615,461,0.06,4.95
4.64,463.5,-0.26,5.1
4.665,466,0.29,3.82
4.69,468.6,0.18,4.73
4.715,471.1,1,4.09
4.73,472.6,0.83,4.23
4.765,476.1,0.12,4.32
4.79,478.7,1.08,4.06
4.815,481.2,1,4.36
4.83,482.7,1.08,4.19
4.89,488.8,1.23,4.19
4.915,491.3,0.81,4.1
4.94,493.8,0.69,4.26
4.965,496.3,1.14,4.25
4.99,498.9,0.87,4.38
5.015,501.4,1.01,4.12
5.05,504.9,0.67,4.15
5.07,506.9,0.64,4.13
5.095,509.5,1.17,4.45
5.12,512,1.12,4.43
